지점,지점명,일시,평균기온,월합강수량,평균풍속(m/s),최심적설
90,속초,2015-01-01,1.8,8.7,2.2,3
90,속초,2015-02-01,2.4,32.1,2.5,8.7
90,속초,2015-03-01,6.6,8,2.5,
90,속초,2015-04-01,11.1,74.2,2.5,
90,속초,2015-05-01,17.8,9.2,2.4,
90,속초,2015-06-01,19.5,127.7,2.1,
90,속초,2015-07-01,22.7,163.1,1.9,
90,속초,2015-08-01,24.2,198.6,1.8,
90,속초,2015-09-01,19.1,13.5,1.8,
90,속초,2015-10-01,14.7,27.4,2,
90,속초,2015-11-01,8.4,463.5,2,
90,속초,2015-12-01,3,1.7,1.8,
90,속초,2016-01-01,-1.2,6.6,2.4,
90,속초,2016-02-01,0.8,38.3,2.1,
90,속초,2016-03-01,7,31.8,1.9,
90,속초,2016-04-01,12.6,77.5,2.3,
90,속초,2016-05-01,17.2,35.7,2.2,
90,속초,2016-06-01,20.6,62.2,1.8,
90,속초,2016-07-01,22.9,477.8,1.3,
90,속초,2016-08-01,25.5,186.9,1.6,
90,속초,2016-09-01,20.4,126,1.5,
90,속초,2016-10-01,15.3,128.5,1.7,
90,속초,2016-11-01,8.4,40.8,1.8,
90,속초,2016-12-01,4.4,121.7,1.9,
90,속초,2017-01-01,0.8,82.4,1.9,
90,속초,2017-02-01,3,3.2,2,
90,속초,2017-03-01,7,48.7,1.9,
90,속초,2017-04-01,14.8,46.8,2.3,
90,속초,2017-05-01,18.7,25.2,2,
90,속초,2017-06-01,19.8,69.7,1.7,
90,속초,2017-07-01,25.6,270.3,1.2,
90,속초,2017-08-01,23.7,424.9,1.1,
90,속초,2017-09-01,20.8,50.5,1.6,
90,속초,2017-10-01,14.5,135.4,1.7,
90,속초,2017-11-01,7.8,41.2,2.2,
90,속초,2017-12-01,0.7,9.9,2.2,
90,속초,2018-01-01,-1.4,3.9,2,
90,속초,2018-02-01,-0.5,54.4,2.1,
90,속초,2018-03-01,8,55,2.2,
90,속초,2018-04-01,13,141.7,2.3,
90,속초,2018-05-01,15.9,123.6,2,
90,속초,2018-06-01,21.3,46.5,1.7,
90,속초,2018-07-01,25,185.4,1.6,
90,속초,2018-08-01,25.6,625,1.6,
90,속초,2018-09-01,20,66.1,1.5,
90,속초,2018-10-01,13.5,257.6,1.8,
90,속초,2018-11-01,9.2,207.4,1.6,
90,속초,2018-12-01,1.6,10.4,1.8,
90,속초,2019-01-01,1.7,8.7,1.9,
90,속초,2019-02-01,2.5,27.6,1.8,
90,속초,2019-03-01,8.2,44.4,2.1,
90,속초,2019-04-01,11.9,80.9,2.1,
90,속초,2019-05-01,19.8,5.7,2.2,
90,속초,2019-06-01,20,97.8,1.8,
90,속초,2019-07-01,24.7,234.4,1.7,
90,속초,2019-08-01,25.7,293.5,1.7,
90,속초,2019-09-01,20.9,209.9,1.5,
90,속초,2019-10-01,16.1,185.5,1.9,
