지점,지점명,일시,평균기온,월합강수량,평균풍속(m/s),최심적설
162,통영,2015-01-01,3.9,60.8,2.6,
162,통영,2015-02-01,4.8,57.1,2.6,
162,통영,2015-03-01,8.6,101.4,2.5,
162,통영,2015-04-01,13.2,301,2.4,
162,통영,2015-05-01,18,160.1,2.1,
162,통영,2015-06-01,20.5,85.8,1.8,
162,통영,2015-07-01,23.9,180.9,2.9,
162,통영,2015-08-01,25.4,171.4,2,
162,통영,2015-09-01,21.8,123,2.3,
162,통영,2015-10-01,17.5,73.8,2.1,
162,통영,2015-11-01,13.1,97.2,2.2,
162,통영,2015-12-01,7.4,51.3,2.4,
162,통영,2016-01-01,2.8,70.7,2.7,
162,통영,2016-02-01,5,93.2,2.8,
162,통영,2016-03-01,9.2,133.1,2.3,
162,통영,2016-04-01,14.4,262.9,2.3,
162,통영,2016-05-01,18.7,106.8,2.4,
162,통영,2016-06-01,21.6,112.7,2,
162,통영,2016-07-01,25.1,235.5,2.3,
162,통영,2016-08-01,27.5,61.7,2.3,
162,통영,2016-09-01,22.8,543.3,2.3,
162,통영,2016-10-01,18.4,194,2.2,
162,통영,2016-11-01,11.4,61.7,2.3,
162,통영,2016-12-01,6.8,118.1,2.6,
162,통영,2017-01-01,3.8,16.2,2.7,
162,통영,2017-02-01,5,43,2.8,
162,통영,2017-03-01,8.6,32.6,2.4,
162,통영,2017-04-01,14.6,148.5,2.7,
162,통영,2017-05-01,18.5,34.8,2.2,
162,통영,2017-06-01,21,68.4,2.1,
162,통영,2017-07-01,25.7,223.3,2.2,
162,통영,2017-08-01,27.2,169.7,2.4,
162,통영,2017-09-01,22.5,362.2,2.2,
162,통영,2017-10-01,17.9,132.1,2.6,
162,통영,2017-11-01,10.8,1,2.2,
162,통영,2017-12-01,3.4,17.6,2.5,
162,통영,2018-01-01,1.8,33.8,2.7,
162,통영,2018-02-01,3.6,40.9,2.7,
162,통영,2018-03-01,9.3,222.3,2.6,
162,통영,2018-04-01,14.1,170.4,2.6,
162,통영,2018-05-01,17.9,227.2,2.4,
162,통영,2018-06-01,21.2,306.5,2,
162,통영,2018-07-01,26.3,139.2,2,
162,통영,2018-08-01,27.9,177.4,2.7,
162,통영,2018-09-01,21.8,529.4,2.3,
162,통영,2018-10-01,16.2,170.3,2.3,
162,통영,2018-11-01,11.6,41.8,1.9,
162,통영,2018-12-01,5.3,59.5,2.7,
162,통영,2019-01-01,3.8,18.3,2.4,
162,통영,2019-02-01,6,53.2,2.4,
162,통영,2019-03-01,10.1,65.6,2.7,
162,통영,2019-04-01,13,105.6,2,
162,통영,2019-05-01,18.3,95.2,2.1,
162,통영,2019-06-01,20.8,411.3,2,
162,통영,2019-07-01,24.3,329.3,2.5,
162,통영,2019-08-01,26.8,79.2,2.1,
162,통영,2019-09-01,23.1,237.1,2.3,
162,통영,2019-10-01,18.2,223.9,2.4,
162,통영,2019-11-01,12.6,26.1,2.4,
162,통영,2019-12-01,6.4,39.8,2.3,
162,통영,2020-01-01,5.8,124.6,2.5,
162,통영,2020-02-01,6.8,75,2.5,
162,통영,2020-03-01,10.2,61.8,2.7,
162,통영,2020-04-01,12.4,72.2,2.8,
162,통영,2020-05-01,17.8,119.5,2.2,
162,통영,2020-06-01,22,371.3,2.1,
162,통영,2020-07-01,22.5,607.8,1.9,
162,통영,2020-08-01,27.1,273.4,2.9,
162,통영,2020-09-01,22.1,338.2,2.6,
162,통영,2020-10-01,17,28,2.3,
162,통영,2020-11-01,12,54.4,2.5,
162,통영,2020-12-01,4,11.5,2.4,
162,통영,2021-01-01,3.2,19.3,2.6,
162,통영,2021-02-01,6.7,70.3,2.9,
162,통영,2021-03-01,10.9,157.8,2.7,
162,통영,2021-04-01,14.6,103.1,2.6,
162,통영,2021-05-01,17.9,163.1,2.6,
162,통영,2021-06-01,21.8,182.3,2,
162,통영,2021-07-01,26.5,404.5,2.3,
162,통영,2021-08-01,26.7,477,2.4,
162,통영,2021-09-01,23,145.5,2.1,
162,통영,2021-10-01,18.3,5.9,2.2,
162,통영,2021-11-01,12,67.1,2.3,
162,통영,2021-12-01,5.8,4.2,2.6,
162,통영,2022-01-01,3.4,0,2.3,
162,통영,2022-02-01,3.4,0,2.9,
162,통영,2022-03-01,10,121,2.3,
162,통영,2022-04-01,14.5,191.7,2,
162,통영,2022-05-01,18.6,0.1,1.8,
162,통영,2022-06-01,21.8,101.5,3,
162,통영,2022-07-01,26.1,151.8,2,
162,통영,2022-08-01,26.2,186.9,2.6,
162,통영,2022-09-01,22.9,159.4,2.5,
162,통영,2022-10-01,17.3,10.4,2.6,
162,통영,2022-11-01,13.4,46.9,2.4,
162,통영,2022-12-01,3.2,18.1,2.7,
162,통영,2023-01-01,3.5,74.8,2.6,
162,통영,2023-02-01,6.2,35.5,2.6,
162,통영,2023-03-01,11.4,60.6,2.4,
162,통영,2023-04-01,14.4,104,2.8,
