지점명,일시,월합강수량,최심적설
속초,2015-01-01,8.7,3.0
속초,2015-02-01,32.1,8.7
속초,2015-03-01,8.0,0.0
속초,2015-04-01,74.2,0.0
속초,2015-05-01,9.2,0.0
속초,2015-06-01,127.7,0.0
속초,2015-07-01,163.1,0.0
속초,2015-08-01,198.6,0.0
속초,2015-09-01,13.5,0.0
속초,2015-10-01,27.4,0.0
속초,2015-11-01,463.5,0.0
속초,2015-12-01,1.7,0.0
속초,2016-01-01,6.6,0.0
속초,2016-02-01,38.3,0.0
속초,2016-03-01,31.8,0.0
속초,2016-04-01,77.5,0.0
속초,2016-05-01,35.7,0.0
속초,2016-06-01,62.2,0.0
속초,2016-07-01,477.8,0.0
속초,2016-08-01,186.9,0.0
속초,2016-09-01,126.0,0.0
속초,2016-10-01,128.5,0.0
속초,2016-11-01,40.8,0.0
속초,2016-12-01,121.7,0.0
속초,2017-01-01,82.4,0.0
속초,2017-02-01,3.2,0.0
속초,2017-03-01,48.7,0.0
속초,2017-04-01,46.8,0.0
속초,2017-05-01,25.2,0.0
속초,2017-06-01,69.7,0.0
속초,2017-07-01,270.3,0.0
속초,2017-08-01,424.9,0.0
속초,2017-09-01,50.5,0.0
속초,2017-10-01,135.4,0.0
속초,2017-11-01,41.2,0.0
속초,2017-12-01,9.9,0.0
속초,2018-01-01,3.9,0.0
속초,2018-02-01,54.4,0.0
속초,2018-03-01,55.0,0.0
속초,2018-04-01,141.7,0.0
속초,2018-05-01,123.6,0.0
속초,2018-06-01,46.5,0.0
속초,2018-07-01,185.4,0.0
속초,2018-08-01,625.0,0.0
속초,2018-09-01,66.1,0.0
속초,2018-10-01,257.6,0.0
속초,2018-11-01,207.4,0.0
속초,2018-12-01,10.4,0.0
속초,2019-01-01,8.7,0.0
속초,2019-02-01,27.6,0.0
속초,2019-03-01,44.4,0.0
속초,2019-04-01,80.9,0.0
속초,2019-05-01,5.7,0.0
속초,2019-06-01,97.8,0.0
속초,2019-07-01,234.4,0.0
속초,2019-08-01,293.5,0.0
속초,2019-09-01,209.9,0.0
속초,2019-10-01,185.5,0.0
속초,2019-11-01,157.3,0.0
속초,2019-12-01,9.8,0.0
속초,2020-01-01,148.1,0.0
속초,2020-02-01,55.8,0.0
속초,2020-03-01,38.0,0.0
속초,2020-04-01,38.4,0.0
속초,2020-05-01,245.1,0.0
속초,2020-06-01,271.9,0.0
속초,2020-07-01,374.7,0.0
속초,2020-08-01,411.3,0.0
속초,2020-09-01,482.8,0.0
속초,2020-10-01,0.0,0.0
속초,2020-11-01,19.2,0.0
속초,2020-12-01,0.5,0.0
속초,2021-01-01,0.0,0.0
속초,2021-02-01,5.0,0.0
속초,2021-03-01,104.2,0.0
속초,2021-04-01,97.2,0.0
속초,2021-05-01,154.9,0.0
속초,2021-06-01,43.8,0.0
속초,2021-07-01,104.1,0.0
속초,2021-08-01,247.1,0.0
속초,2021-09-01,141.6,0.0
속초,2021-10-01,216.9,0.0
속초,2021-11-01,16.2,0.0
속초,2021-12-01,68.7,0.0
속초,2022-01-01,3.6,0.0
속초,2022-02-01,11.1,0.0
속초,2022-03-01,114.5,0.0
속초,2022-04-01,33.5,0.0
속초,2022-05-01,9.1,0.0
속초,2022-06-01,248.7,0.0
속초,2022-07-01,213.1,0.0
속초,2022-08-01,323.7,0.0
속초,2022-09-01,263.8,0.0
속초,2022-10-01,377.1,0.0
속초,2022-11-01,38.4,0.0
속초,2022-12-01,0.7,0.0
속초,2023-01-01,94.7,0.0
속초,2023-02-01,43.4,0.0
속초,2023-03-01,10.1,0.0
속초,2023-04-01,57.0,0.0
속초,2023-05-01,81.0,0.0
속초,2023-06-01,200.1,0.0
속초,2023-07-01,108.2,0.0
속초,2023-08-01,669.6,0.0
속초,2023-09-01,208.2,0.0
속초,2023-10-01,31.4,0.0
속초,2023-11-01,60.1,0.0
속초,2023-12-01,205.0,0.0
속초,2024-01-01,11.6,0.0
속초,2024-02-01,125.7,0.0
속초,2024-03-01,58.6,0.0
속초,2024-04-01,63.4,0.0
속초,2024-05-01,63.4,0.0
속초,2024-06-01,133.8,0.0
속초,2024-07-01,109.3,0.0
속초,2024-08-01,46.4,0.0
속초,2024-09-01,457.9,0.0
속초,2024-10-01,143.2,0.0
속초,2024-11-01,17.6,0.0
속초,2024-12-01,3.2,0.0
속초,2025-01-01,14.5,0.0
속초,2025-02-01,0.0,0.0
속초,2025-03-01,98.4,0.0
속초,2025-04-01,48.2,0.0
속초,2025-05-01,72.2,0.0
속초,2025-06-01,30.2,0.0
속초,2025-07-01,148.6,0.0
