지점명,일시,월합강수량,최심적설
인천,2015-01-01,10.3,1.8
인천,2015-02-01,22.8,0.4
인천,2015-03-01,10.0,0.0
인천,2015-04-01,53.7,0.0
인천,2015-05-01,30.1,0.0
인천,2015-06-01,63.6,0.0
인천,2015-07-01,175.8,0.0
인천,2015-08-01,45.5,0.0
인천,2015-09-01,13.5,0.0
인천,2015-10-01,87.0,0.0
인천,2015-11-01,107.7,0.7
인천,2015-12-01,32.0,3.9
인천,2016-01-01,2.8,2.7
인천,2016-02-01,43.1,5.8
인천,2016-03-01,44.1,0.0
인천,2016-04-01,80.8,0.0
인천,2016-05-01,148.5,0.0
인천,2016-06-01,19.5,0.0
인천,2016-07-01,300.5,0.0
인천,2016-08-01,26.5,0.0
인천,2016-09-01,34.5,0.0
인천,2016-10-01,78.7,0.0
인천,2016-11-01,18.2,0.5
인천,2016-12-01,67.1,1.8
인천,2017-01-01,20.6,8.1
인천,2017-02-01,16.2,1.7
인천,2017-03-01,9.7,0.0
인천,2017-04-01,57.0,0.0
인천,2017-05-01,21.6,0.0
인천,2017-06-01,49.3,0.0
인천,2017-07-01,478.3,0.0
인천,2017-08-01,250.5,0.0
인천,2017-09-01,21.6,0.0
인천,2017-10-01,21.8,0.0
인천,2017-11-01,42.2,1.5
인천,2017-12-01,40.1,4.1
인천,2018-01-01,4.5,2.9
인천,2018-02-01,27.0,2.9
인천,2018-03-01,78.6,0.0
인천,2018-04-01,112.2,0.0
인천,2018-05-01,158.9,0.0
인천,2018-06-01,144.0,0.0
인천,2018-07-01,148.8,0.0
인천,2018-08-01,214.9,0.0
인천,2018-09-01,46.1,0.0
인천,2018-10-01,116.2,0.0
인천,2018-11-01,66.6,1.6
인천,2018-12-01,16.6,4.2
인천,2019-01-01,0.7,0.6
인천,2019-02-01,26.6,4.2
인천,2019-03-01,28.4,0.0
인천,2019-04-01,41.1,0.0
인천,2019-05-01,33.2,0.0
인천,2019-06-01,49.7,0.0
인천,2019-07-01,220.8,0.0
인천,2019-08-01,143.7,0.0
인천,2019-09-01,229.0,0.0
인천,2019-10-01,31.9,0.0
인천,2019-11-01,89.4,0.0
인천,2019-12-01,25.0,0.0
인천,2020-01-01,48.6,0.0
인천,2020-02-01,49.7,3.5
인천,2020-03-01,10.7,0.0
인천,2020-04-01,13.8,0.0
인천,2020-05-01,101.2,0.0
인천,2020-06-01,100.2,0.0
인천,2020-07-01,243.5,0.0
인천,2020-08-01,486.4,0.0
인천,2020-09-01,167.7,0.0
인천,2020-10-01,1.9,0.0
인천,2020-11-01,81.6,0.0
인천,2020-12-01,6.6,1.2
인천,2021-01-01,20.8,4.0
인천,2021-02-01,6.6,4.6
인천,2021-03-01,93.4,0.4
인천,2021-04-01,116.9,0.0
인천,2021-05-01,191.5,0.0
인천,2021-06-01,45.4,0.0
인천,2021-07-01,84.2,0.0
인천,2021-08-01,269.0,0.0
인천,2021-09-01,125.8,0.0
인천,2021-10-01,31.6,0.0
인천,2021-11-01,79.0,0.0
인천,2021-12-01,7.6,5.2
인천,2022-01-01,4.4,3.1
인천,2022-02-01,2.7,5.3
인천,2022-03-01,84.6,0.0
인천,2022-04-01,21.1,0.0
인천,2022-05-01,5.4,0.0
인천,2022-06-01,286.0,0.0
인천,2022-07-01,215.2,0.0
인천,2022-08-01,635.9,0.0
인천,2022-09-01,167.8,0.0
인천,2022-10-01,102.1,0.0
인천,2022-11-01,81.3,0.0
인천,2022-12-01,14.0,5.6
인천,2023-01-01,47.2,8.4
인천,2023-02-01,0.5,0.0
인천,2023-03-01,10.0,0.0
인천,2023-04-01,70.4,0.0
인천,2023-05-01,133.8,0.0
인천,2023-06-01,116.2,0.0
인천,2023-07-01,370.8,0.0
인천,2023-08-01,297.5,0.0
인천,2023-09-01,129.2,0.0
인천,2023-10-01,16.8,0.0
인천,2023-11-01,63.1,0.0
인천,2023-12-01,75.9,4.1
인천,2024-01-01,16.3,1.7
인천,2024-02-01,63.8,9.9
인천,2024-03-01,19.2,0.0
인천,2024-04-01,35.3,0.0
인천,2024-05-01,122.6,0.0
인천,2024-06-01,101.8,0.0
인천,2024-07-01,342.9,0.0
인천,2024-08-01,86.7,0.0
인천,2024-09-01,122.9,0.0
인천,2024-10-01,82.1,0.0
인천,2024-11-01,62.2,26.0
인천,2024-12-01,5.0,4.3
인천,2025-01-01,19.6,6.3
인천,2025-02-01,3.5,3.3
인천,2025-03-01,26.5,3.6
인천,2025-04-01,106.2,0.0
인천,2025-05-01,98.2,0.0
인천,2025-06-01,147.9,0.0
인천,2025-07-01,260.1,0.0
