지점명,일시,월합강수량,최심적설
영덕,2015-01-01,9.9,0.0
영덕,2015-02-01,9.1,0.0
영덕,2015-03-01,36.5,0.0
영덕,2015-04-01,85.5,0.0
영덕,2015-05-01,12.1,0.0
영덕,2015-06-01,103.6,0.0
영덕,2015-07-01,98.0,0.0
영덕,2015-08-01,111.1,0.0
영덕,2015-09-01,82.0,0.0
영덕,2015-10-01,16.5,0.0
영덕,2015-11-01,220.5,0.0
영덕,2015-12-01,26.5,0.0
영덕,2016-01-01,12.5,0.0
영덕,2016-02-01,18.1,0.0
영덕,2016-03-01,27.1,0.0
영덕,2016-04-01,158.5,0.0
영덕,2016-05-01,27.1,0.0
영덕,2016-06-01,56.3,0.0
영덕,2016-07-01,173.2,0.0
영덕,2016-08-01,69.6,0.0
영덕,2016-09-01,322.6,0.0
영덕,2016-10-01,136.2,0.0
영덕,2016-11-01,44.3,0.0
영덕,2016-12-01,42.8,0.0
영덕,2017-01-01,21.5,0.0
영덕,2017-02-01,16.0,0.0
영덕,2017-03-01,9.0,0.0
영덕,2017-04-01,57.0,0.0
영덕,2017-05-01,15.9,0.0
영덕,2017-06-01,34.8,0.0
영덕,2017-07-01,172.4,0.0
영덕,2017-08-01,322.1,0.0
영덕,2017-09-01,103.8,0.0
영덕,2017-10-01,121.2,0.0
영덕,2017-11-01,0.1,0.0
영덕,2017-12-01,6.5,0.0
영덕,2018-01-01,12.0,0.0
영덕,2018-02-01,30.0,0.0
영덕,2018-03-01,105.5,0.0
영덕,2018-04-01,149.6,0.0
영덕,2018-05-01,71.4,0.0
영덕,2018-06-01,29.3,0.0
영덕,2018-07-01,211.6,0.0
영덕,2018-08-01,196.2,0.0
영덕,2018-09-01,140.5,0.0
영덕,2018-10-01,358.1,0.0
영덕,2018-11-01,42.2,0.0
영덕,2018-12-01,19.0,0.0
영덕,2019-01-01,9.5,0.0
영덕,2019-02-01,17.1,0.0
영덕,2019-03-01,18.6,0.0
영덕,2019-04-01,103.5,0.0
영덕,2019-05-01,24.9,0.0
영덕,2019-06-01,242.2,0.0
영덕,2019-07-01,130.7,0.0
영덕,2019-08-01,152.6,0.0
영덕,2019-09-01,175.0,0.0
영덕,2019-10-01,455.5,0.0
영덕,2019-11-01,105.2,0.0
영덕,2019-12-01,21.1,0.0
영덕,2020-01-01,118.4,0.0
영덕,2020-02-01,51.6,0.0
영덕,2020-03-01,14.3,0.0
영덕,2020-04-01,40.0,0.0
영덕,2020-05-01,56.1,0.0
영덕,2020-06-01,165.6,0.0
영덕,2020-07-01,507.5,0.0
영덕,2020-08-01,123.3,0.0
영덕,2020-09-01,205.7,0.0
영덕,2020-10-01,1.5,0.0
영덕,2020-11-01,24.6,0.0
영덕,2020-12-01,0.2,0.0
영덕,2021-01-01,8.1,0.0
영덕,2021-02-01,8.4,0.0
영덕,2021-03-01,73.9,0.0
영덕,2021-04-01,68.6,0.0
영덕,2021-05-01,130.7,0.0
영덕,2021-06-01,58.6,0.0
영덕,2021-07-01,139.2,0.0
영덕,2021-08-01,456.7,0.0
영덕,2021-09-01,159.5,0.0
영덕,2021-10-01,148.1,0.0
영덕,2021-11-01,35.2,0.0
영덕,2021-12-01,0.0,0.0
영덕,2022-01-01,3.3,0.0
영덕,2022-02-01,4.4,0.0
영덕,2022-03-01,79.6,0.0
영덕,2022-04-01,35.6,0.0
영덕,2022-05-01,5.4,0.0
영덕,2022-06-01,54.0,0.0
영덕,2022-07-01,115.6,0.0
영덕,2022-08-01,124.7,0.0
영덕,2022-09-01,141.5,0.0
영덕,2022-10-01,62.8,0.0
영덕,2022-11-01,172.2,0.0
영덕,2022-12-01,3.1,0.0
영덕,2023-01-01,22.9,0.0
영덕,2023-02-01,45.3,0.0
영덕,2023-03-01,30.6,0.0
영덕,2023-04-01,37.3,0.0
영덕,2023-05-01,115.5,0.0
영덕,2023-06-01,113.4,0.0
영덕,2023-07-01,260.3,0.0
영덕,2023-08-01,216.6,0.0
영덕,2023-09-01,232.6,0.0
영덕,2023-10-01,9.9,0.0
영덕,2023-11-01,9.1,0.0
영덕,2023-12-01,135.2,0.0
영덕,2024-01-01,20.6,0.0
영덕,2024-02-01,117.7,0.0
영덕,2024-03-01,55.4,0.0
영덕,2024-04-01,66.6,0.0
영덕,2024-05-01,87.4,0.0
영덕,2024-06-01,71.9,0.0
영덕,2024-07-01,121.6,0.0
영덕,2024-08-01,28.9,0.0
영덕,2024-09-01,128.8,0.0
영덕,2024-10-01,119.2,0.0
영덕,2024-11-01,30.3,0.0
영덕,2024-12-01,0.0,0.0
영덕,2025-01-01,11.8,0.0
영덕,2025-02-01,1.2,0.0
영덕,2025-03-01,56.7,0.0
영덕,2025-04-01,41.8,0.0
영덕,2025-05-01,135.9,0.0
영덕,2025-06-01,150.2,0.0
영덕,2025-07-01,120.0,0.0
