지점명,일시,월합강수량,최심적설
부산,2015-01-01,50.7,0.0
부산,2015-02-01,30.5,0.0
부산,2015-03-01,76.5,0.0
부산,2015-04-01,268.0,0.0
부산,2015-05-01,183.0,0.0
부산,2015-06-01,69.2,0.0
부산,2015-07-01,176.7,0.0
부산,2015-08-01,132.5,0.0
부산,2015-09-01,172.0,0.0
부산,2015-10-01,62.0,0.0
부산,2015-11-01,124.1,0.0
부산,2015-12-01,51.5,0.0
부산,2016-01-01,59.5,0.0
부산,2016-02-01,63.7,0.0
부산,2016-03-01,133.5,0.0
부산,2016-04-01,198.5,0.0
부산,2016-05-01,108.8,0.0
부산,2016-06-01,115.2,0.0
부산,2016-07-01,188.8,0.0
부산,2016-08-01,141.5,0.0
부산,2016-09-01,407.9,0.0
부산,2016-10-01,182.4,0.0
부산,2016-11-01,56.6,0.0
부산,2016-12-01,103.8,0.0
부산,2017-01-01,12.0,0.0
부산,2017-02-01,33.8,0.0
부산,2017-03-01,35.7,0.0
부산,2017-04-01,105.1,0.0
부산,2017-05-01,39.2,0.0
부산,2017-06-01,49.8,0.0
부산,2017-07-01,172.1,0.0
부산,2017-08-01,82.5,0.0
부산,2017-09-01,335.0,0.0
부산,2017-10-01,138.3,0.0
부산,2017-11-01,0.3,0.0
부산,2017-12-01,10.6,0.0
부산,2018-01-01,40.9,1.3
부산,2018-02-01,52.5,0.0
부산,2018-03-01,206.1,0.0
부산,2018-04-01,156.4,0.0
부산,2018-05-01,155.8,0.0
부산,2018-06-01,276.7,0.0
부산,2018-07-01,122.1,0.0
부산,2018-08-01,169.7,0.0
부산,2018-09-01,308.4,0.0
부산,2018-10-01,123.7,0.0
부산,2018-11-01,107.3,0.0
부산,2018-12-01,59.0,0.0
부산,2019-01-01,12.7,0.2
부산,2019-02-01,51.5,0.0
부산,2019-03-01,75.4,0.0
부산,2019-04-01,85.0,0.0
부산,2019-05-01,76.1,0.0
부산,2019-06-01,324.3,0.0
부산,2019-07-01,358.9,0.0
부산,2019-08-01,156.3,0.0
부산,2019-09-01,279.0,0.0
부산,2019-10-01,139.9,0.0
부산,2019-11-01,13.8,0.0
부산,2019-12-01,50.3,0.0
부산,2020-01-01,127.7,0.0
부산,2020-02-01,94.9,0.0
부산,2020-03-01,58.8,0.0
부산,2020-04-01,83.5,0.0
부산,2020-05-01,96.2,0.0
부산,2020-06-01,321.1,0.0
부산,2020-07-01,796.8,0.0
부산,2020-08-01,399.2,0.0
부산,2020-09-01,230.5,0.0
부산,2020-10-01,26.4,0.0
부산,2020-11-01,36.3,0.0
부산,2020-12-01,10.2,0.0
부산,2021-01-01,25.8,0.0
부산,2021-02-01,49.5,0.0
부산,2021-03-01,127.5,0.0
부산,2021-04-01,107.1,0.0
부산,2021-05-01,139.2,0.0
부산,2021-06-01,232.3,0.0
부산,2021-07-01,399.9,0.0
부산,2021-08-01,481.2,0.0
부산,2021-09-01,164.7,0.0
부산,2021-10-01,18.2,0.0
부산,2021-11-01,57.9,0.0
부산,2021-12-01,4.5,0.0
부산,2022-01-01,0.0,0.0
부산,2022-02-01,0.0,0.0
부산,2022-03-01,127.4,0.0
부산,2022-04-01,130.6,0.0
부산,2022-05-01,5.4,0.0
부산,2022-06-01,152.0,0.0
부산,2022-07-01,145.0,0.0
부산,2022-08-01,176.7,0.0
부산,2022-09-01,162.4,0.0
부산,2022-10-01,9.7,0.0
부산,2022-11-01,61.3,0.0
부산,2022-12-01,21.4,0.0
부산,2023-01-01,79.2,0.0
부산,2023-02-01,30.0,0.0
부산,2023-03-01,76.2,0.0
부산,2023-04-01,101.6,0.0
부산,2023-05-01,290.7,0.0
부산,2023-06-01,153.9,0.0
부산,2023-07-01,701.7,0.0
부산,2023-08-01,299.9,0.0
부산,2023-09-01,322.7,0.0
부산,2023-10-01,4.2,0.0
부산,2023-11-01,28.5,0.3
부산,2023-12-01,102.8,0.0
부산,2024-01-01,40.6,0.0
부산,2024-02-01,137.1,0.0
부산,2024-03-01,102.0,0.0
부산,2024-04-01,166.8,0.0
부산,2024-05-01,148.4,0.0
부산,2024-06-01,173.7,0.0
부산,2024-07-01,362.4,0.0
부산,2024-08-01,86.5,0.0
부산,2024-09-01,420.3,0.0
부산,2024-10-01,208.8,0.0
부산,2024-11-01,99.1,0.0
부산,2024-12-01,0.0,0.0
부산,2025-01-01,7.6,0.0
부산,2025-02-01,32.0,0.0
부산,2025-03-01,52.0,0.0
부산,2025-04-01,75.3,0.0
부산,2025-05-01,132.7,0.0
부산,2025-06-01,292.7,0.0
부산,2025-07-01,241.8,0.0
