지점명,일시,월합강수량,최심적설
목포,2015-01-01,41.1,4.0
목포,2015-02-01,25.7,0.2
목포,2015-03-01,34.4,0.0
목포,2015-04-01,159.6,0.0
목포,2015-05-01,77.8,0.0
목포,2015-06-01,117.8,0.0
목포,2015-07-01,159.6,0.0
목포,2015-08-01,86.5,0.0
목포,2015-09-01,79.5,0.0
목포,2015-10-01,84.2,0.0
목포,2015-11-01,106.8,0.3
목포,2015-12-01,68.6,3.3
목포,2016-01-01,79.2,25.0
목포,2016-02-01,40.5,2.1
목포,2016-03-01,54.9,0.0
목포,2016-04-01,192.0,0.0
목포,2016-05-01,119.9,0.0
목포,2016-06-01,133.6,0.0
목포,2016-07-01,249.2,0.0
목포,2016-08-01,20.4,0.0
목포,2016-09-01,197.8,0.0
목포,2016-10-01,203.1,0.0
목포,2016-11-01,61.5,0.0
목포,2016-12-01,45.9,0.0
목포,2017-01-01,13.9,1.8
목포,2017-02-01,32.3,9.1
목포,2017-03-01,28.5,0.0
목포,2017-04-01,46.5,0.0
목포,2017-05-01,14.0,0.0
목포,2017-06-01,28.5,0.0
목포,2017-07-01,138.2,0.0
목포,2017-08-01,201.8,0.0
목포,2017-09-01,109.4,0.0
목포,2017-10-01,62.7,0.0
목포,2017-11-01,1.4,0.0
목포,2017-12-01,45.3,5.7
목포,2018-01-01,58.0,21.2
목포,2018-02-01,39.3,18.3
목포,2018-03-01,152.7,0.0
목포,2018-04-01,169.0,0.0
목포,2018-05-01,89.3,0.0
목포,2018-06-01,162.0,0.0
목포,2018-07-01,67.6,0.0
목포,2018-08-01,246.2,0.0
목포,2018-09-01,151.4,0.0
목포,2018-10-01,138.4,0.0
목포,2018-11-01,51.1,0.0
목포,2018-12-01,38.3,5.2
목포,2019-01-01,13.3,3.9
목포,2019-02-01,29.6,2.9
목포,2019-03-01,38.5,0.0
목포,2019-04-01,86.3,0.0
목포,2019-05-01,122.9,0.0
목포,2019-06-01,172.3,0.0
목포,2019-07-01,167.0,0.0
목포,2019-08-01,144.9,0.0
목포,2019-09-01,259.3,0.0
목포,2019-10-01,159.0,0.0
목포,2019-11-01,14.6,0.0
목포,2019-12-01,40.7,0.0
목포,2020-01-01,72.0,0.0
목포,2020-02-01,28.9,3.1
목포,2020-03-01,28.8,0.0
목포,2020-04-01,60.9,0.0
목포,2020-05-01,141.4,0.0
목포,2020-06-01,261.5,0.0
목포,2020-07-01,366.3,0.0
목포,2020-08-01,206.4,0.0
목포,2020-09-01,208.6,0.0
목포,2020-10-01,20.5,0.0
목포,2020-11-01,14.0,0.0
목포,2020-12-01,18.4,5.0
목포,2021-01-01,39.7,12.1
목포,2021-02-01,25.9,2.2
목포,2021-03-01,127.4,0.0
목포,2021-04-01,51.9,0.0
목포,2021-05-01,112.3,0.0
목포,2021-06-01,108.3,0.0
목포,2021-07-01,327.5,0.0
목포,2021-08-01,124.4,0.0
목포,2021-09-01,91.4,0.0
목포,2021-10-01,14.7,0.0
목포,2021-11-01,63.9,0.0
목포,2021-12-01,13.6,15.6
목포,2022-01-01,4.3,1.9
목포,2022-02-01,4.5,4.0
목포,2022-03-01,78.9,0.0
목포,2022-04-01,74.7,0.0
목포,2022-05-01,2.6,0.0
목포,2022-06-01,90.2,0.0
목포,2022-07-01,196.3,0.0
목포,2022-08-01,92.3,0.0
목포,2022-09-01,101.9,0.0
목포,2022-10-01,38.3,0.0
목포,2022-11-01,33.1,0.4
목포,2022-12-01,22.8,16.1
목포,2023-01-01,35.2,4.5
목포,2023-02-01,26.8,0.5
목포,2023-03-01,22.6,0.0
목포,2023-04-01,88.8,0.0
목포,2023-05-01,158.1,0.0
목포,2023-06-01,168.8,0.0
목포,2023-07-01,629.2,0.0
목포,2023-08-01,152.9,0.0
목포,2023-09-01,146.7,0.0
목포,2023-10-01,7.1,0.0
목포,2023-11-01,75.7,0.0
목포,2023-12-01,66.0,22.2
목포,2024-01-01,55.9,8.5
목포,2024-02-01,108.5,0.0
목포,2024-03-01,73.3,2.1
목포,2024-04-01,81.7,0.0
목포,2024-05-01,101.6,0.0
목포,2024-06-01,143.3,0.0
목포,2024-07-01,197.8,0.0
목포,2024-08-01,186.7,0.0
목포,2024-09-01,124.1,0.0
목포,2024-10-01,142.1,0.0
목포,2024-11-01,61.3,0.0
목포,2024-12-01,8.9,2.8
목포,2025-01-01,19.8,4.6
목포,2025-02-01,42.3,12.7
목포,2025-03-01,33.2,0.6
목포,2025-04-01,43.5,0.0
목포,2025-05-01,109.5,0.0
목포,2025-06-01,207.4,0.0
목포,2025-07-01,273.2,0.0
