지점명,일시,월합강수량,최심적설
부안,2015-01-01,44.1,0.0
부안,2015-02-01,20.5,0.0
부안,2015-03-01,41.0,0.0
부안,2015-04-01,129.2,0.0
부안,2015-05-01,44.1,0.0
부안,2015-06-01,120.3,0.0
부안,2015-07-01,123.6,0.0
부안,2015-08-01,59.4,0.0
부안,2015-09-01,42.4,0.0
부안,2015-10-01,99.8,0.0
부안,2015-11-01,125.2,0.0
부안,2015-12-01,74.5,0.0
부안,2016-01-01,51.1,0.0
부안,2016-02-01,40.6,0.0
부안,2016-03-01,52.0,0.0
부안,2016-04-01,179.5,0.0
부안,2016-05-01,99.9,0.0
부안,2016-06-01,42.0,0.0
부안,2016-07-01,220.7,0.0
부안,2016-08-01,30.2,0.0
부안,2016-09-01,139.3,0.0
부안,2016-10-01,128.7,0.0
부안,2016-11-01,34.6,0.0
부안,2016-12-01,56.9,0.0
부안,2017-01-01,18.7,0.0
부안,2017-02-01,37.8,0.0
부안,2017-03-01,21.9,0.0
부안,2017-04-01,61.1,0.0
부안,2017-05-01,38.3,0.0
부안,2017-06-01,25.2,0.0
부안,2017-07-01,372.6,0.0
부안,2017-08-01,137.8,0.0
부안,2017-09-01,105.0,0.0
부안,2017-10-01,35.5,0.0
부안,2017-11-01,10.6,0.0
부안,2017-12-01,42.0,0.0
부안,2018-01-01,34.6,0.0
부안,2018-02-01,31.5,0.0
부안,2018-03-01,98.5,0.0
부안,2018-04-01,124.6,0.0
부안,2018-05-01,112.5,0.0
부안,2018-06-01,105.0,0.0
부안,2018-07-01,258.2,0.0
부안,2018-08-01,299.5,0.0
부안,2018-09-01,67.0,0.0
부안,2018-10-01,161.5,0.0
부안,2018-11-01,39.7,0.0
부안,2018-12-01,26.4,0.0
부안,2019-01-01,8.8,0.0
부안,2019-02-01,25.1,0.0
부안,2019-03-01,30.4,0.0
부안,2019-04-01,104.5,0.0
부안,2019-05-01,60.7,0.0
부안,2019-06-01,89.0,0.0
부안,2019-07-01,225.5,0.0
부안,2019-08-01,127.4,0.0
부안,2019-09-01,243.0,0.0
부안,2019-10-01,86.6,0.0
부안,2019-11-01,55.6,0.0
부안,2019-12-01,30.9,0.0
부안,2020-01-01,79.1,0.0
부안,2020-02-01,59.0,0.0
부안,2020-03-01,22.1,0.0
부안,2020-04-01,22.2,0.0
부안,2020-05-01,111.9,0.0
부안,2020-06-01,157.6,0.0
부안,2020-07-01,509.8,0.0
부안,2020-08-01,421.6,0.0
부안,2020-09-01,224.3,0.0
부안,2020-10-01,6.8,0.0
부안,2020-11-01,49.4,0.0
부안,2020-12-01,31.0,0.0
부안,2021-01-01,32.6,0.0
부안,2021-02-01,23.3,0.0
부안,2021-03-01,100.4,0.0
부안,2021-04-01,46.4,0.0
부안,2021-05-01,81.7,0.0
부안,2021-06-01,97.1,0.0
부안,2021-07-01,224.6,0.0
부안,2021-08-01,409.7,0.0
부안,2021-09-01,166.6,0.0
부안,2021-10-01,50.3,0.0
부안,2021-11-01,100.3,0.0
부안,2021-12-01,21.0,0.0
부안,2022-01-01,5.2,0.0
부안,2022-02-01,11.0,0.0
부안,2022-03-01,69.7,0.0
부안,2022-04-01,58.3,0.0
부안,2022-05-01,7.2,0.0
부안,2022-06-01,172.8,0.0
부안,2022-07-01,126.1,0.0
부안,2022-08-01,276.7,0.0
부안,2022-09-01,85.9,0.0
부안,2022-10-01,37.6,0.0
부안,2022-11-01,63.7,0.0
부안,2022-12-01,57.0,0.0
부안,2023-01-01,35.4,0.0
부안,2023-02-01,4.8,0.0
부안,2023-03-01,19.8,0.0
부안,2023-04-01,48.6,0.0
부안,2023-05-01,236.7,0.0
부안,2023-06-01,247.2,0.0
부안,2023-07-01,647.2,0.0
부안,2023-08-01,168.5,0.0
부안,2023-09-01,191.2,0.0
부안,2023-10-01,13.3,0.0
부안,2023-11-01,104.7,0.0
부안,2023-12-01,136.2,0.0
부안,2024-01-01,54.7,0.0
부안,2024-02-01,130.9,0.0
부안,2024-03-01,75.2,0.0
부안,2024-04-01,56.6,0.0
부안,2024-05-01,88.3,0.0
부안,2024-06-01,77.7,0.0
부안,2024-07-01,325.5,0.0
부안,2024-08-01,37.2,0.0
부안,2024-09-01,165.1,0.0
부안,2024-10-01,71.6,0.0
부안,2024-11-01,50.4,0.0
부안,2024-12-01,35.0,0.0
부안,2025-01-01,44.8,0.0
부안,2025-02-01,35.6,0.0
부안,2025-03-01,43.0,0.0
부안,2025-04-01,62.6,0.0
부안,2025-05-01,82.9,0.0
부안,2025-06-01,317.6,0.0
부안,2025-07-01,209.0,0.0
