지점명,일시,월합강수량,최심적설
제주,2015-01-01,82.4,1.8
제주,2015-02-01,35.5,0.5
제주,2015-03-01,80.7,0.0
제주,2015-04-01,147.9,0.0
제주,2015-05-01,150.0,0.0
제주,2015-06-01,186.4,0.0
제주,2015-07-01,329.7,0.0
제주,2015-08-01,248.6,0.0
제주,2015-09-01,172.9,0.0
제주,2015-10-01,31.0,0.0
제주,2015-11-01,173.2,0.0
제주,2015-12-01,90.0,0.0
제주,2016-01-01,125.6,12.0
제주,2016-02-01,40.0,0.0
제주,2016-03-01,96.9,0.0
제주,2016-04-01,121.4,0.0
제주,2016-05-01,113.0,0.0
제주,2016-06-01,162.7,0.0
제주,2016-07-01,98.6,0.0
제주,2016-08-01,75.6,0.0
제주,2016-09-01,172.3,0.0
제주,2016-10-01,282.4,0.0
제주,2016-11-01,71.3,0.0
제주,2016-12-01,56.6,0.0
제주,2017-01-01,50.7,0.0
제주,2017-02-01,39.1,2.8
제주,2017-03-01,48.2,0.0
제주,2017-04-01,51.4,0.0
제주,2017-05-01,38.5,0.0
제주,2017-06-01,60.7,0.0
제주,2017-07-01,35.2,0.0
제주,2017-08-01,159.5,0.0
제주,2017-09-01,83.4,0.0
제주,2017-10-01,162.0,0.0
제주,2017-11-01,19.2,0.0
제주,2017-12-01,25.4,0.0
제주,2018-01-01,58.0,7.0
제주,2018-02-01,86.6,14.4
제주,2018-03-01,118.0,0.0
제주,2018-04-01,112.5,0.0
제주,2018-05-01,98.8,0.0
제주,2018-06-01,211.1,0.0
제주,2018-07-01,48.7,0.0
제주,2018-08-01,376.5,0.0
제주,2018-09-01,187.7,0.0
제주,2018-10-01,347.0,0.0
제주,2018-11-01,28.6,0.0
제주,2018-12-01,96.0,0.0
제주,2019-01-01,24.2,0.0
제주,2019-02-01,37.9,0.0
제주,2019-03-01,55.5,0.0
제주,2019-04-01,46.4,0.0
제주,2019-05-01,42.8,0.0
제주,2019-06-01,145.8,0.0
제주,2019-07-01,510.1,0.0
제주,2019-08-01,242.3,0.0
제주,2019-09-01,610.6,0.0
제주,2019-10-01,188.6,0.0
제주,2019-11-01,27.5,0.0
제주,2019-12-01,48.2,0.0
제주,2020-01-01,116.7,0.0
제주,2020-02-01,29.8,0.0
제주,2020-03-01,81.6,0.0
제주,2020-04-01,82.3,0.0
제주,2020-05-01,20.6,0.0
제주,2020-06-01,221.5,0.0
제주,2020-07-01,184.7,0.0
제주,2020-08-01,140.4,0.0
제주,2020-09-01,400.5,0.0
제주,2020-10-01,53.7,0.0
제주,2020-11-01,28.2,0.0
제주,2020-12-01,29.5,2.1
제주,2021-01-01,116.6,9.2
제주,2021-02-01,52.8,1.8
제주,2021-03-01,81.1,0.0
제주,2021-04-01,58.8,0.0
제주,2021-05-01,100.7,0.0
제주,2021-06-01,122.4,0.0
제주,2021-07-01,247.1,0.0
제주,2021-08-01,227.8,0.0
제주,2021-09-01,493.1,0.0
제주,2021-10-01,32.1,0.0
제주,2021-11-01,63.8,0.0
제주,2021-12-01,31.4,4.4
제주,2022-01-01,33.6,0.4
제주,2022-02-01,25.1,0.3
제주,2022-03-01,96.1,0.0
제주,2022-04-01,84.0,0.0
제주,2022-05-01,9.1,0.0
제주,2022-06-01,143.6,0.0
제주,2022-07-01,149.0,0.0
제주,2022-08-01,124.3,0.0
제주,2022-09-01,265.8,0.0
제주,2022-10-01,22.1,0.0
제주,2022-11-01,87.8,0.0
제주,2022-12-01,35.3,2.7
제주,2023-01-01,42.1,3.7
제주,2023-02-01,89.6,0.0
제주,2023-03-01,49.6,0.0
제주,2023-04-01,62.1,0.0
제주,2023-05-01,269.3,0.0
제주,2023-06-01,213.0,0.0
제주,2023-07-01,273.2,0.0
제주,2023-08-01,182.5,0.0
제주,2023-09-01,84.5,0.0
제주,2023-10-01,36.0,0.0
제주,2023-11-01,69.1,0.0
제주,2023-12-01,73.9,12.2
제주,2024-01-01,93.4,3.7
제주,2024-02-01,205.4,0.0
제주,2024-03-01,98.1,0.0
제주,2024-04-01,80.2,0.0
제주,2024-05-01,42.9,0.0
제주,2024-06-01,271.8,0.0
제주,2024-07-01,156.0,0.0
제주,2024-08-01,47.0,0.0
제주,2024-09-01,126.2,0.0
제주,2024-10-01,135.2,0.0
제주,2024-11-01,335.7,0.0
제주,2024-12-01,5.8,0.0
제주,2025-01-01,25.4,0.8
제주,2025-02-01,61.4,2.8
제주,2025-03-01,82.5,0.0
제주,2025-04-01,23.9,0.0
제주,2025-05-01,81.8,0.0
제주,2025-06-01,85.1,0.0
제주,2025-07-01,141.9,0.0
