지점명,일시,월합강수량,최심적설
서산,2015-01-01,20.7,0.5
서산,2015-02-01,23.1,0.0
서산,2015-03-01,20.6,0.0
서산,2015-04-01,116.8,0.0
서산,2015-05-01,40.6,0.0
서산,2015-06-01,64.1,0.0
서산,2015-07-01,158.5,0.0
서산,2015-08-01,63.1,0.0
서산,2015-09-01,15.1,0.0
서산,2015-10-01,73.1,0.0
서산,2015-11-01,156.6,13.5
서산,2015-12-01,63.6,12.5
서산,2016-01-01,21.9,14.1
서산,2016-02-01,61.7,7.0
서산,2016-03-01,24.3,4.6
서산,2016-04-01,87.0,0.0
서산,2016-05-01,153.7,0.0
서산,2016-06-01,36.8,0.0
서산,2016-07-01,295.6,0.0
서산,2016-08-01,34.0,0.0
서산,2016-09-01,53.1,0.0
서산,2016-10-01,73.8,0.0
서산,2016-11-01,17.5,0.0
서산,2016-12-01,62.7,1.8
서산,2017-01-01,21.3,6.5
서산,2017-02-01,31.4,0.0
서산,2017-03-01,4.8,3.5
서산,2017-04-01,38.9,0.0
서산,2017-05-01,27.9,0.0
서산,2017-06-01,23.3,0.0
서산,2017-07-01,327.8,0.0
서산,2017-08-01,231.3,0.0
서산,2017-09-01,37.6,0.0
서산,2017-10-01,25.5,0.0
서산,2017-11-01,24.7,0.0
서산,2017-12-01,35.9,0.0
서산,2018-01-01,21.0,0.0
서산,2018-02-01,40.5,0.0
서산,2018-03-01,76.6,0.0
서산,2018-04-01,132.8,0.0
서산,2018-05-01,147.7,0.0
서산,2018-06-01,162.3,0.0
서산,2018-07-01,152.9,0.0
서산,2018-08-01,156.8,0.0
서산,2018-09-01,82.7,0.0
서산,2018-10-01,153.2,0.0
서산,2018-11-01,73.9,0.0
서산,2018-12-01,26.8,0.0
서산,2019-01-01,1.1,0.0
서산,2019-02-01,30.2,0.0
서산,2019-03-01,43.7,0.0
서산,2019-04-01,43.9,0.0
서산,2019-05-01,20.1,0.0
서산,2019-06-01,56.3,0.0
서산,2019-07-01,174.5,0.0
서산,2019-08-01,121.1,0.0
서산,2019-09-01,181.1,0.0
서산,2019-10-01,81.0,0.0
서산,2019-11-01,124.6,0.0
서산,2019-12-01,37.4,0.0
서산,2020-01-01,46.0,0.0
서산,2020-02-01,72.3,0.0
서산,2020-03-01,23.0,0.0
서산,2020-04-01,20.7,0.0
서산,2020-05-01,101.3,0.0
서산,2020-06-01,144.0,0.0
서산,2020-07-01,329.4,0.0
서산,2020-08-01,400.0,0.0
서산,2020-09-01,257.7,0.0
서산,2020-10-01,12.6,0.0
서산,2020-11-01,72.0,0.0
서산,2020-12-01,9.7,0.0
서산,2021-01-01,25.3,0.0
서산,2021-02-01,9.6,0.0
서산,2021-03-01,112.8,0.0
서산,2021-04-01,110.6,0.0
서산,2021-05-01,132.3,0.0
서산,2021-06-01,70.9,0.0
서산,2021-07-01,121.6,0.0
서산,2021-08-01,217.8,0.0
서산,2021-09-01,206.0,0.0
서산,2021-10-01,55.9,0.0
서산,2021-11-01,126.2,0.0
서산,2021-12-01,18.3,0.0
서산,2022-01-01,8.6,0.0
서산,2022-02-01,4.7,0.0
서산,2022-03-01,72.1,0.0
서산,2022-04-01,52.2,0.0
서산,2022-05-01,2.9,0.0
서산,2022-06-01,352.4,0.0
서산,2022-07-01,178.4,0.0
서산,2022-08-01,468.7,0.0
서산,2022-09-01,165.9,0.0
서산,2022-10-01,160.0,0.0
서산,2022-11-01,72.9,0.0
서산,2022-12-01,31.9,0.0
서산,2023-01-01,30.5,0.0
서산,2023-02-01,0.1,0.0
서산,2023-03-01,6.4,0.0
서산,2023-04-01,54.6,0.0
서산,2023-05-01,132.9,0.0
서산,2023-06-01,138.1,0.0
서산,2023-07-01,507.0,0.0
서산,2023-08-01,225.0,0.0
서산,2023-09-01,166.1,0.0
서산,2023-10-01,39.6,0.0
서산,2023-11-01,122.9,0.0
서산,2023-12-01,106.5,0.0
서산,2024-01-01,34.4,0.0
서산,2024-02-01,86.4,0.0
서산,2024-03-01,26.1,0.0
서산,2024-04-01,45.0,0.0
서산,2024-05-01,157.4,0.0
서산,2024-06-01,120.4,0.0
서산,2024-07-01,556.1,0.0
서산,2024-08-01,197.6,0.0
서산,2024-09-01,354.2,0.0
서산,2024-10-01,150.3,0.0
서산,2024-11-01,62.1,0.0
서산,2024-12-01,16.1,0.0
서산,2025-01-01,38.9,0.0
서산,2025-02-01,10.2,0.0
서산,2025-03-01,39.7,0.0
서산,2025-04-01,65.9,0.0
서산,2025-05-01,73.7,0.0
서산,2025-06-01,99.9,0.0
서산,2025-07-01,597.3,0.0
