지점명,일시,월합강수량,최심적설
통영,2015-01-01,60.8,0.0
통영,2015-02-01,57.1,0.0
통영,2015-03-01,101.4,0.0
통영,2015-04-01,301.0,0.0
통영,2015-05-01,160.1,0.0
통영,2015-06-01,85.8,0.0
통영,2015-07-01,180.9,0.0
통영,2015-08-01,171.4,0.0
통영,2015-09-01,123.0,0.0
통영,2015-10-01,73.8,0.0
통영,2015-11-01,97.2,0.0
통영,2015-12-01,51.3,0.0
통영,2016-01-01,70.7,0.0
통영,2016-02-01,93.2,0.0
통영,2016-03-01,133.1,0.0
통영,2016-04-01,262.9,0.0
통영,2016-05-01,106.8,0.0
통영,2016-06-01,112.7,0.0
통영,2016-07-01,235.5,0.0
통영,2016-08-01,61.7,0.0
통영,2016-09-01,543.3,0.0
통영,2016-10-01,194.0,0.0
통영,2016-11-01,61.7,0.0
통영,2016-12-01,118.1,0.0
통영,2017-01-01,16.2,0.0
통영,2017-02-01,43.0,0.0
통영,2017-03-01,32.6,0.0
통영,2017-04-01,148.5,0.0
통영,2017-05-01,34.8,0.0
통영,2017-06-01,68.4,0.0
통영,2017-07-01,223.3,0.0
통영,2017-08-01,169.7,0.0
통영,2017-09-01,362.2,0.0
통영,2017-10-01,132.1,0.0
통영,2017-11-01,1.0,0.0
통영,2017-12-01,17.6,0.0
통영,2018-01-01,33.8,0.0
통영,2018-02-01,40.9,0.0
통영,2018-03-01,222.3,0.0
통영,2018-04-01,170.4,0.0
통영,2018-05-01,227.2,0.0
통영,2018-06-01,306.5,0.0
통영,2018-07-01,139.2,0.0
통영,2018-08-01,177.4,0.0
통영,2018-09-01,529.4,0.0
통영,2018-10-01,170.3,0.0
통영,2018-11-01,41.8,0.0
통영,2018-12-01,59.5,0.0
통영,2019-01-01,18.3,0.0
통영,2019-02-01,53.2,0.0
통영,2019-03-01,65.6,0.0
통영,2019-04-01,105.6,0.0
통영,2019-05-01,95.2,0.0
통영,2019-06-01,411.3,0.0
통영,2019-07-01,329.3,0.0
통영,2019-08-01,79.2,0.0
통영,2019-09-01,237.1,0.0
통영,2019-10-01,223.9,0.0
통영,2019-11-01,26.1,0.0
통영,2019-12-01,39.8,0.0
통영,2020-01-01,124.6,0.0
통영,2020-02-01,75.0,0.0
통영,2020-03-01,61.8,0.0
통영,2020-04-01,72.2,0.0
통영,2020-05-01,119.5,0.0
통영,2020-06-01,371.3,0.0
통영,2020-07-01,607.8,0.0
통영,2020-08-01,273.4,0.0
통영,2020-09-01,338.2,0.0
통영,2020-10-01,28.0,0.0
통영,2020-11-01,54.4,0.0
통영,2020-12-01,11.5,0.0
통영,2021-01-01,19.3,0.0
통영,2021-02-01,70.3,0.0
통영,2021-03-01,157.8,0.0
통영,2021-04-01,103.1,0.0
통영,2021-05-01,163.1,0.0
통영,2021-06-01,182.3,0.0
통영,2021-07-01,404.5,0.0
통영,2021-08-01,477.0,0.0
통영,2021-09-01,145.5,0.0
통영,2021-10-01,5.9,0.0
통영,2021-11-01,67.1,0.0
통영,2021-12-01,4.2,0.0
통영,2022-01-01,0.0,0.0
통영,2022-02-01,0.0,0.0
통영,2022-03-01,121.0,0.0
통영,2022-04-01,191.7,0.0
통영,2022-05-01,0.1,0.0
통영,2022-06-01,101.5,0.0
통영,2022-07-01,151.8,0.0
통영,2022-08-01,186.9,0.0
통영,2022-09-01,159.4,0.0
통영,2022-10-01,10.4,0.0
통영,2022-11-01,46.9,0.0
통영,2022-12-01,18.1,0.0
통영,2023-01-01,74.8,0.0
통영,2023-02-01,35.5,0.0
통영,2023-03-01,60.6,0.0
통영,2023-04-01,104.0,0.0
통영,2023-05-01,241.1,0.0
통영,2023-06-01,237.5,0.0
통영,2023-07-01,586.4,0.0
통영,2023-08-01,391.6,0.0
통영,2023-09-01,283.7,0.0
통영,2023-10-01,4.1,0.0
통영,2023-11-01,47.8,0.0
통영,2023-12-01,67.2,0.0
통영,2024-01-01,35.2,0.0
통영,2024-02-01,116.6,0.0
통영,2024-03-01,113.2,0.0
통영,2024-04-01,195.7,0.0
통영,2024-05-01,147.9,0.0
통영,2024-06-01,208.2,0.0
통영,2024-07-01,458.0,0.0
통영,2024-08-01,44.3,0.0
통영,2024-09-01,283.7,0.0
통영,2024-10-01,216.1,0.0
통영,2024-11-01,117.6,0.0
통영,2024-12-01,0.0,0.0
통영,2025-01-01,7.4,0.0
통영,2025-02-01,28.7,0.0
통영,2025-03-01,58.6,0.0
통영,2025-04-01,72.7,0.0
통영,2025-05-01,166.7,0.0
통영,2025-06-01,227.2,0.0
통영,2025-07-01,83.6,0.0
