지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
강원,2019-01-01,10.7,33.9,19.2,1.2,7.2,1.3,8.7,0.0
강원,2019-02-01,9.5,33.9,31.3,1.0,6.2,1.3,27.6,0.0
강원,2019-03-01,10.0,34.0,36.0,0.9,6.0,1.5,44.4,0.0
강원,2019-04-01,11.1,33.9,22.7,0.8,5.3,1.6,80.9,0.0
강원,2019-05-01,13.2,33.7,30.7,0.5,4.7,1.5,5.7,0.0
강원,2019-06-01,16.1,33.3,20.3,0.7,5.1,1.4,97.8,0.0
강원,2019-07-01,19.7,32.7,21.0,0.7,5.7,1.5,234.4,0.0
강원,2019-08-01,22.3,31.8,22.8,0.7,6.2,1.4,293.5,0.0
강원,2019-09-01,22.1,31.9,33.2,0.9,5.9,1.1,209.9,0.0
강원,2019-10-01,20.3,31.2,35.2,1.3,7.0,1.4,185.5,0.0
강원,2019-11-01,17.8,32.6,25.7,177.5,6.4,1.1,157.3,0.0
강원,2019-12-01,14.4,33.3,19.0,1.1,6.8,1.1,9.8,0.0
