지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
경기,2021-01-01,2.0,29.9,78.6,1.4,5.5,3.8,20.8,4.0
경기,2021-02-01,2.5,29.8,77.0,1.3,5.8,3.9,6.6,4.6
경기,2021-03-01,6.3,28.2,79.6,0.7,4.9,3.1,93.4,0.4
경기,2021-04-01,11.3,28.9,76.3,0.7,5.6,3.4,116.9,0.0
경기,2021-05-01,15.2,28.5,75.0,0.7,5.1,3.4,191.5,0.0
경기,2021-06-01,19.7,27.5,73.9,0.5,5.4,2.5,45.4,0.0
경기,2021-07-01,24.5,28.6,74.6,0.8,6.6,2.3,84.2,0.0
경기,2021-08-01,26.8,28.4,72.2,0.7,6.0,3.1,269.0,0.0
경기,2021-09-01,24.6,28.9,73.0,0.9,5.4,3.4,125.8,0.0
경기,2021-10-01,20.8,29.4,70.4,0.9,5.1,3.3,31.6,0.0
경기,2021-11-01,14.6,29.9,70.6,1.2,5.4,3.6,79.0,0.0
경기,2021-12-01,7.8,30.1,69.4,1.5,5.7,4.0,7.6,5.2
