지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
경북,2023-01-01,13.1,33.2,13.8,1.2,7.0,7.3,22.9,0
경북,2023-02-01,12.2,33.1,12.6,0.9,6.4,5.9,45.3,0
경북,2023-03-01,13.0,33.1,13.3,0.7,5.4,4.9,30.6,0
경북,2023-04-01,13.4,33.2,13.3,0.8,6.0,5.3,37.3,0
경북,2023-05-01,16.0,32.8,16.5,0.7,5.2,4.9,115.5,0
경북,2023-06-01,19.1,32.3,11.5,0.5,5.6,4.1,113.4,0
경북,2023-07-01,18.2,30.0,16.5,0.5,7.0,3.7,260.3,0
경북,2023-08-01,24.1,28.9,22.0,0.9,11.1,5.3,216.6,0
경북,2023-09-01,25.8,29.6,14.7,0.8,5.0,5.1,232.6,0
경북,2023-10-01,21.6,31.4,10.4,0.7,5.9,5.3,9.9,0
경북,2023-11-01,15.9,32.6,12.5,0.8,6.6,6.4,9.1,0
경북,2023-12-01,13.8,32.1,10.7,1.0,6.8,6.9,135.2,0
