지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
부산,2021-01-01,11.5,34.0,16.3,0.5,6.6,2.1,25.8,0.0
부산,2021-02-01,11.7,34.0,16.6,0.7,6.1,2.5,49.5,0.0
부산,2021-03-01,13.4,33.4,16.4,0.7,5.7,2.1,127.5,0.0
부산,2021-04-01,15.3,32.9,16.7,0.7,5.6,2.3,107.1,0.0
부산,2021-05-01,16.4,32.9,17.8,0.6,5.2,2.2,139.2,0.0
부산,2021-06-01,19.6,31.8,18.9,0.5,4.9,1.9,232.3,0.0
부산,2021-07-01,24.4,30.4,18.9,0.6,5.5,2.3,399.9,0.0
부산,2021-08-01,26.4,29.9,16.9,0.7,5.8,2.1,481.2,0.0
부산,2021-09-01,24.2,30.0,14.4,0.7,5.8,1.9,164.7,0.0
부산,2021-10-01,22.4,31.0,12.8,0.5,5.7,1.7,18.2,0.0
부산,2021-11-01,16.8,32.1,14.4,0.5,5.1,2.0,57.9,0.0
부산,2021-12-01,13.2,33.6,14.4,0.5,6.4,2.1,4.5,0.0
