지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
전남,2016-01-01,7.6,29.8,31.3,0.6,4.0,3.4,79.2,25.0
전남,2016-02-01,5.5,28.4,32.3,0.8,5.3,3.5,40.5,2.1
전남,2016-03-01,7.6,30.4,29.8,0.6,5.2,3.1,54.9,0.0
전남,2016-04-01,12.3,29.2,31.5,0.6,5.2,3.4,192.0,0.0
전남,2016-05-01,16.8,28.5,30.0,0.5,5.2,3.4,119.9,0.0
전남,2016-06-01,20.4,26.4,29.4,0.6,5.6,2.9,133.6,0.0
전남,2016-07-01,22.8,26.0,31.2,0.8,6.1,3.3,249.2,0.0
전남,2016-08-01,26.7,30.2,30.6,0.5,6.4,3.0,20.4,0.0
전남,2016-09-01,24.3,28.2,30.4,0.7,7.6,2.5,197.8,0.0
전남,2016-10-01,21.0,20.6,30.8,0.8,6.2,3.0,203.1,0.0
전남,2016-11-01,15.4,29.1,30.3,0.7,5.3,3.0,61.5,0.0
전남,2016-12-01,10.2,30.5,29.2,0.7,5.7,3.1,45.9,0.0
