지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
전북,2019-01-01,4.2,30.5,42.4,1.0,5.0,3.5,8.8,0
전북,2019-02-01,4.2,29.7,44.1,0.9,4.9,3.9,25.1,0
전북,2019-03-01,7.1,29.3,42.2,0.8,4.8,3.7,30.4,0
전북,2019-04-01,10.8,30.8,42.3,0.4,3.9,3.2,104.5,0
전북,2019-05-01,15.8,32.3,43.3,0.4,4.1,3.1,60.7,0
전북,2019-06-01,20.4,32.8,39.1,0.3,3.8,2.8,89.0,0
전북,2019-07-01,23.3,33.1,44.6,0.5,6.2,3.2,225.5,0
전북,2019-08-01,26.7,32.5,46.4,0.6,6.2,3.0,127.4,0
전북,2019-09-01,24.2,32.4,47.4,0.6,4.9,4.1,243.0,0
전북,2019-10-01,20.5,31.4,49.2,1.0,4.9,3.8,86.6,0
전북,2019-11-01,14.9,29.7,46.2,1.0,5.2,4.0,55.6,0
전북,2019-12-01,8.6,26.7,45.2,1.2,5.2,4.2,30.9,0
