지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
제주,2024-01-01,17.4,33.2,28.1,126.8,5.1,1.6,93.4,3.7
제주,2024-02-01,16.3,33.0,28.7,1.0,5.9,1.4,205.4,0.0
제주,2024-03-01,16.1,33.0,30.6,108.2,5.1,1.6,98.1,0.0
제주,2024-04-01,17.1,32.8,28.8,76.2,4.8,1.1,80.2,0.0
제주,2024-05-01,18.6,32.2,22.4,75.0,4.9,1.6,42.9,0.0
제주,2024-06-01,21.0,30.7,26.6,50.8,4.4,1.3,271.8,0.0
제주,2024-07-01,22.9,28.3,38.6,73.0,4.9,1.6,156.0,0.0
제주,2024-08-01,27.9,27.0,38.4,69.5,5.1,1.2,47.0,0.0
제주,2024-09-01,27.9,28.6,29.0,90.6,5.3,1.3,126.2,0.0
제주,2024-10-01,25.6,32.1,26.4,125.4,5.4,1.2,135.2,0.0
제주,2024-11-01,22.8,32.2,26.0,136.3,5.4,1.3,335.7,0.0
제주,2024-12-01,19.0,32.9,22.2,116.1,4.9,1.7,5.8,0.0
