지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
충남,2024-01-01,4.8,31.4,32.6,1.2,5.2,4.0,34.4,0.0
충남,2024-02-01,4.7,31.4,34.1,0.3,5.4,3.8,86.4,0.0
충남,2024-03-01,6.8,31.2,33.7,0.4,5.3,4.3,26.1,0.0
충남,2024-04-01,11.4,31.4,31.7,0.2,4.7,3.0,45.0,0.0
충남,2024-05-01,16.3,31.3,30.3,0.6,5.4,3.7,157.4,0.0
충남,2024-06-01,21.1,31.3,34.4,0.6,5.2,3.3,120.4,0.0
충남,2024-07-01,23.1,28.8,31.0,0.6,5.2,3.8,556.1,0.0
충남,2024-08-01,27.6,29.1,32.4,0.3,3.8,2.9,197.6,0.0
충남,2024-09-01,27.6,30.5,34.7,0.3,4.2,3.3,354.2,0.0
충남,2024-10-01,22.2,31.0,32.5,0.3,4.0,3.2,150.3,0.0
충남,2024-11-01,16.6,31.7,32.3,0.5,4.5,3.7,62.1,0.0
충남,2024-12-01,8.8,32.0,32.1,0.5,4.5,3.8,16.1,0.0
