지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
통영,2022-01-01,8.5,33.6,30.5,104.3,5.9,1.2,0.0,0
통영,2022-02-01,7.9,33.8,28.6,116.3,5.2,1.5,0.0,0
통영,2022-03-01,10.3,33.9,32.8,109.1,5.3,1.9,121.0,0
통영,2022-04-01,14.2,33.7,27.7,94.5,5.1,1.9,191.7,0
통영,2022-05-01,17.4,33.2,27.7,64.6,4.4,1.8,0.1,0
통영,2022-06-01,20.0,33.3,29.6,105.1,5.3,2.4,101.5,0
통영,2022-07-01,22.9,33.3,39.4,88.0,5.8,1.6,151.8,0
통영,2022-08-01,24.0,33.0,49.6,95.0,5.4,1.9,186.9,0
통영,2022-09-01,24.1,31.1,30.5,168.4,6.1,2.4,159.4,0
통영,2022-10-01,21.2,32.2,38.8,123.0,5.3,1.9,10.4,0
통영,2022-11-01,17.5,33.0,40.8,77.8,4.6,1.3,46.9,0
통영,2022-12-01,11.7,33.3,32.6,119.1,5.5,1.2,18.1,0
