지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
경기,2015-01-01,2.8,27.5,38.0,0.0,3.2,4.1,10.3,1.8
경기,2015-02-01,2.9,24.9,41.5,0.0,3.3,3.8,22.8,0.4
경기,2015-03-01,5.1,26.5,39.0,0.0,3.1,3.8,10.0,0.0
경기,2015-04-01,10.1,27.6,41.9,0.0,3.1,3.4,53.7,0.0
경기,2015-05-01,15.6,26.8,38.1,0.1,3.1,3.3,30.1,0.0
경기,2015-06-01,20.5,27.5,38.0,0.0,3.1,3.2,63.6,0.0
경기,2015-07-01,23.8,28.6,52.0,0.0,3.0,3.6,175.8,0.0
경기,2015-08-01,26.2,28.8,57.0,0.3,4.9,3.4,45.5,0.0
경기,2015-09-01,24.7,29.7,52.1,91.1,5.5,3.5,13.5,0.0
경기,2015-10-01,20.1,26.6,52.0,0.6,5.9,4.0,87.0,0.0
경기,2015-11-01,14.9,26.6,48.6,0.6,5.9,3.8,107.7,0.7
경기,2015-12-01,8.2,26.3,49.6,0.4,4.1,3.8,32.0,3.9
경기,2016-01-01,3.7,25.0,77.9,0.5,4.5,4.0,2.8,2.7
경기,2016-02-01,2.4,26.5,77.9,0.5,4.6,4.2,43.1,5.8
경기,2016-03-01,5.6,29.4,71.7,0.3,4.2,3.4,44.1,0.0
경기,2016-04-01,10.6,31.1,69.7,0.3,4.0,3.3,80.8,0.0
경기,2016-05-01,17.6,30.2,72.1,0.3,4.0,3.5,148.5,0.0
경기,2016-06-01,21.5,30.7,76.9,0.3,4.1,3.1,19.5,0.0
경기,2016-07-01,24.2,28.9,80.6,0.4,4.9,3.0,300.5,0.0
경기,2016-08-01,27.8,29.5,77.7,0.2,4.0,3.5,26.5,0.0
경기,2016-09-01,24.9,30.3,82.5,0.3,4.2,3.1,34.5,0.0
경기,2016-10-01,20.7,30.7,78.7,0.3,4.1,3.8,78.7,0.0
경기,2016-11-01,13.4,31.2,76.4,0.4,4.2,3.9,18.2,0.5
경기,2016-12-01,7.5,31.5,77.2,0.5,4.3,3.9,67.1,1.8
경기,2017-01-01,4.2,31.4,78.4,0.4,4.3,4.0,20.6,8.1
경기,2017-02-01,2.4,32.3,77.2,0.4,4.3,4.1,16.2,1.7
경기,2017-03-01,5.8,31.9,80.9,0.3,3.8,3.3,9.7,0.0
경기,2017-04-01,10.7,31.6,79.1,0.4,3.9,3.5,57.0,0.0
경기,2017-05-01,15.4,30.5,77.1,0.3,3.8,3.2,21.6,0.0
경기,2017-06-01,20.9,31.5,75.3,0.3,3.8,3.4,49.3,0.0
경기,2017-07-01,24.8,29.0,82.1,0.4,4.3,2.8,478.3,0.0
경기,2017-08-01,26.1,28.2,79.1,0.3,4.5,3.2,250.5,0.0
경기,2017-09-01,24.1,29.0,77.7,0.3,3.9,3.5,21.6,0.0
경기,2017-10-01,19.8,30.2,71.7,0.3,3.7,3.8,21.8,0.0
경기,2017-11-01,13.1,29.2,78.2,0.3,4.9,2.3,42.2,1.5
경기,2017-12-01,5.2,31.1,79.5,0.5,4.4,3.9,40.1,4.1
경기,2018-01-01,1.9,31.3,80.4,0.4,4.4,3.8,4.5,2.9
경기,2018-02-01,0.1,31.3,79.2,0.5,4.1,3.9,27.0,2.9
경기,2018-03-01,4.8,30.8,80.5,0.3,4.0,3.3,78.6,0.0
경기,2018-04-01,9.7,30.3,82.1,0.3,4.0,3.6,112.2,0.0
경기,2018-05-01,14.1,29.4,80.2,0.3,4.0,3.3,158.9,0.0
경기,2018-06-01,18.5,29.2,77.3,0.3,4.2,2.7,144.0,0.0
경기,2018-07-01,22.4,28.4,80.9,0.3,5.1,2.7,148.8,0.0
경기,2018-08-01,26.4,30.3,79.7,0.4,4.9,3.6,214.9,0.0
경기,2018-09-01,23.1,28.6,81.2,0.3,4.3,3.7,46.1,0.0
경기,2018-10-01,17.8,30.2,77.9,0.4,4.1,3.8,116.2,0.0
경기,2018-11-01,12.8,29.7,78.1,0.3,3.8,3.2,66.6,1.6
경기,2018-12-01,6.1,30.4,74.6,0.4,4.0,4.1,16.6,4.2
경기,2019-01-01,2.0,31.6,78.3,0.9,5.1,3.4,0.7,0.6
