지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
경북,2015-01-01,8.1,33.9,11.7,187.7,6.8,7.3,9.9,0
경북,2015-02-01,8.1,33.9,10.7,187.3,6.8,6.8,9.1,0
경북,2015-03-01,9.8,34.1,9.3,149.6,6.1,6.6,36.5,0
경북,2015-04-01,12.7,34.0,13.2,112.5,5.4,7.4,85.5,0
경북,2015-05-01,15.3,33.8,12.8,76.6,4.5,5.9,12.1,0
경북,2015-06-01,18.1,30.2,12.6,91.5,5.3,5.6,103.6,0
경북,2015-07-01,19.2,31.3,16.6,91.0,5.1,6.5,98.0,0
경북,2015-08-01,22.7,29.4,22.5,95.5,5.5,4.9,111.1,0
경북,2015-09-01,23.3,32.2,18.1,117.3,5.8,6.0,82.0,0
경북,2015-10-01,19.9,31.3,27.9,117.1,5.6,5.6,16.5,0
경북,2015-11-01,15.9,32.3,18.6,177.2,6.3,7.9,220.5,0
경북,2015-12-01,12.1,33.2,43.4,153.9,6.1,6.4,26.5,0
경북,2016-01-01,8.2,34.0,27.5,1.4,7.1,7.4,12.5,0
경북,2016-02-01,8.6,33.9,46.2,1.1,6.4,6.9,18.1,0
경북,2016-03-01,11.2,33.1,28.1,0.9,5.5,6.2,27.1,0
경북,2016-04-01,12.9,32.6,52.7,0.9,5.6,7.6,158.5,0
경북,2016-05-01,17.1,32.6,27.3,0.7,4.9,6.7,27.1,0
경북,2016-06-01,21.1,32.4,37.6,0.6,5.6,5.2,56.3,0
경북,2016-07-01,24.0,31.1,58.0,0.5,5.6,4.4,173.2,0
경북,2016-08-01,30.3,30.4,48.3,0.8,5.0,5.3,69.6,0
경북,2016-09-01,26.0,28.3,40.6,1.0,6.1,5.7,322.6,0
경북,2016-10-01,23.2,29.4,18.8,1.1,6.0,5.5,136.2,0
경북,2016-11-01,16.2,32.2,16.0,1.3,7.2,6.5,44.3,0
경북,2016-12-01,11.7,33.5,15.3,1.4,7.1,6.8,42.8,0
경북,2017-01-01,9.7,34.0,44.1,1.4,7.3,7.3,21.5,0
경북,2017-02-01,9.2,32.3,38.2,1.5,7.4,7.4,16.0,0
경북,2017-03-01,11.4,34.4,37.3,0.9,5.9,5.9,9.0,0
경북,2017-04-01,13.9,34.3,18.0,0.9,5.6,5.6,57.0,0
경북,2017-05-01,15.3,34.4,21.2,99.6,6.1,5.3,15.9,0
경북,2017-06-01,19.0,34.2,15.1,0.7,5.8,5.8,34.8,0
경북,2017-07-01,18.4,34.1,11.8,0.4,4.6,4.6,172.4,0
경북,2017-08-01,25.9,31.6,11.6,0.8,5.8,5.8,322.1,0
경북,2017-09-01,24.0,31.9,18.4,0.8,5.5,5.5,103.8,0
경북,2017-10-01,20.2,31.6,20.8,1.4,6.4,6.4,121.2,0
경북,2017-11-01,14.6,33.3,23.5,1.1,6.6,6.6,0.1,0
경북,2017-12-01,8.5,33.9,37.8,1.4,7.2,7.2,6.5,0
경북,2018-01-01,7.9,34.2,39.1,1.4,7.4,6.9,12.0,0
경북,2018-02-01,6.8,34.2,29.6,1.3,6.6,6.9,30.0,0
경북,2018-03-01,9.4,33.2,21.4,1.2,7.7,8.6,105.5,0
경북,2018-04-01,13.0,33.7,19.0,0.9,5.7,7.8,149.6,0
경북,2018-05-01,15.9,34.0,28.3,0.8,5.5,7.1,71.4,0
경북,2018-06-01,18.2,34.2,19.7,0.6,5.4,6.2,29.3,0
경북,2018-07-01,20.5,30.6,18.5,0.7,5.9,5.9,211.6,0
경북,2018-08-01,27.2,32.5,26.1,0.8,6.4,4.7,196.2,0
경북,2018-09-01,22.3,31.3,31.0,0.8,5.6,6.1,140.5,0
경북,2018-10-01,19.7,31.7,21.6,0.9,6.3,6.0,358.1,0
경북,2018-11-01,15.3,33.0,35.7,0.8,5.9,5.3,42.2,0
경북,2018-12-01,10.9,33.4,24.0,1.2,6.8,6.3,19.0,0
경북,2019-01-01,8.7,33.8,19.2,1.2,7.2,4.7,9.5,0
경북,2019-02-01,9.4,33.9,31.3,1.0,6.2,4.1,17.1,0
경북,2019-03-01,12.0,34.0,36.0,0.9,6.0,4.5,18.6,0
경북,2019-04-01,13.4,33.9,22.7,0.8,5.3,4.3,103.5,0
경북,2019-05-01,14.9,33.9,30.7,0.5,4.7,4.2,24.9,0
경북,2019-06-01,18.0,33.2,20.3,0.7,5.1,3.7,242.2,0
경북,2019-07-01,21.4,32.8,21.0,0.7,5.7,4.3,130.7,0
경북,2019-08-01,24.5,32.5,22.8,0.7,6.2,4.0,152.6,0
경북,2019-09-01,24.0,30.4,33.2,0.9,5.9,4.0,175.0,0
경북,2019-10-01,21.0,29.7,35.2,1.3,7.0,5.0,455.5,0
경북,2019-11-01,16.4,32.7,25.7,177.5,6.4,4.0,105.2,0
경북,2019-12-01,11.2,33.2,19.0,1.1,6.8,4.1,21.1,0
경북,2020-01-01,10.4,32.8,18.6,197.1,7.1,6.9,118.4,0
경북,2020-02-01,10.7,33.4,13.8,1.3,7.3,7.1,51.6,0
경북,2020-03-01,11.8,33.6,19.3,170.6,6.9,7.0,14.3,0
경북,2020-04-01,13.8,34.0,24.6,142.1,6.5,7.4,40.0,0
경북,2020-05-01,16.7,33.9,24.8,104.0,5.3,6.0,56.1,0
경북,2020-06-01,19.5,33.4,23.4,79.6,5.2,6.0,165.6,0
경북,2020-07-01,21.4,30.0,19.0,99.2,6.3,5.1,507.5,0
경북,2020-08-01,21.2,32.1,20.7,94.2,6.3,6.5,123.3,0
경북,2020-09-01,21.8,30.3,7.8,1.0,7.9,7.8,205.7,0
경북,2020-10-01,19.1,31.8,22.0,112.5,5.6,4.4,1.5,0
