지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
부산,2015-01-01,11.3,33.9,38.0,0.5,6.7,2.5,50.7,0.0
부산,2015-02-01,10.7,34.0,41.5,0.6,6.4,2.7,30.5,0.0
부산,2015-03-01,11.4,34.0,39.0,0.5,5.7,2.8,76.5,0.0
부산,2015-04-01,13.4,33.3,41.9,0.9,5.7,2.8,268.0,0.0
부산,2015-05-01,15.4,32.9,38.1,0.3,4.0,2.5,183.0,0.0
부산,2015-06-01,18.4,33.2,38.0,0.4,5.0,2.2,69.2,0.0
부산,2015-07-01,20.9,31.8,52.0,0.7,5.9,3.0,176.7,0.0
부산,2015-08-01,23.9,31.8,57.0,0.5,6.0,2.5,132.5,0.0
부산,2015-09-01,23.4,31.8,52.1,0.7,5.8,2.5,172.0,0.0
부산,2015-10-01,20.6,32.1,52.0,0.5,5.4,2.5,62.0,0.0
부산,2015-11-01,17.0,32.4,48.6,0.6,6.2,2.3,124.1,0.0
부산,2015-12-01,14.1,33.3,49.6,0.5,5.6,2.4,51.5,0.0
부산,2016-01-01,11.4,33.7,16.2,0.5,6.2,2.8,59.5,0.0
부산,2016-02-01,10.7,33.7,17.1,0.6,5.8,2.9,63.7,0.0
부산,2016-03-01,11.8,33.7,17.0,0.6,5.3,2.5,133.5,0.0
부산,2016-04-01,13.8,33.5,17.3,0.7,5.4,2.5,198.5,0.0
부산,2016-05-01,16.9,33.3,18.1,0.5,4.5,2.5,108.8,0.0
부산,2016-06-01,18.9,33.2,18.9,0.5,5.1,2.4,115.2,0.0
부산,2016-07-01,20.8,31.5,19.3,0.5,5.3,2.6,188.8,0.0
부산,2016-08-01,26.9,30.7,17.8,0.6,5.1,2.7,141.5,0.0
부산,2016-09-01,24.0,30.6,15.6,127.6,6.3,2.2,407.9,0.0
부산,2016-10-01,21.2,31.3,18.6,124.7,5.4,2.2,182.4,0.0
부산,2016-11-01,17.2,33.2,18.0,103.6,5.3,2.2,56.6,0.0
부산,2016-12-01,14.1,33.7,17.4,0.5,6.1,2.6,103.8,0.0
부산,2017-01-01,11.5,33.9,17.5,0.5,6.3,2.7,12.0,0.0
부산,2017-02-01,11.2,33.2,17.8,0.6,6.3,2.9,33.8,0.0
부산,2017-03-01,12.1,34.2,18.2,0.5,5.0,2.4,35.7,0.0
부산,2017-04-01,14.2,34.0,18.8,0.6,5.0,3.0,105.1,0.0
부산,2017-05-01,15.9,34.1,18.7,0.5,4.3,2.7,39.2,0.0
부산,2017-06-01,18.2,33.8,17.9,0.5,4.8,2.5,49.8,0.0
부산,2017-07-01,20.0,33.0,19.5,0.5,4.8,2.7,172.1,0.0
부산,2017-08-01,25.8,31.7,13.9,0.6,5.2,2.4,82.5,0.0
부산,2017-09-01,24.6,31.5,14.3,0.6,5.2,2.2,335.0,0.0
부산,2017-10-01,21.0,32.2,9.3,0.9,6.3,2.3,138.3,0.0
부산,2017-11-01,16.9,33.1,17.8,0.4,5.5,2.4,0.3,0.0
부산,2017-12-01,12.6,33.8,18.0,0.4,6.9,2.5,10.6,0.0
부산,2018-01-01,11.0,34.1,17.9,0.5,7.3,2.5,40.9,1.3
부산,2018-02-01,10.1,34.3,17.7,0.5,6.4,2.8,52.5,0.0
부산,2018-03-01,11.9,33.7,16.8,0.8,6.2,3.1,206.1,0.0
부산,2018-04-01,13.7,33.9,18.3,0.6,5.1,3.2,156.4,0.0
부산,2018-05-01,15.3,33.3,18.5,109.2,5.2,3.0,155.8,0.0
부산,2018-06-01,19.0,33.3,18.7,0.5,5.4,2.6,276.7,0.0
부산,2018-07-01,22.5,31.6,20.4,0.5,5.7,2.6,122.1,0.0
부산,2018-08-01,26.7,31.9,21.4,0.6,5.7,2.9,169.7,0.0
부산,2018-09-01,22.3,31.7,17.3,0.6,5.9,2.3,308.4,0.0
부산,2018-10-01,19.9,32.7,14.0,110.4,5.2,2.4,123.7,0.0
부산,2018-11-01,16.6,33.7,18.1,71.5,4.9,1.9,107.3,0.0
부산,2018-12-01,13.7,33.9,18.1,105.3,5.1,2.3,59.0,0.0
부산,2019-01-01,12.1,34.3,18.9,104.6,5.2,2.5,12.7,0.2
부산,2019-02-01,12.1,34.3,18.9,97.6,5.0,2.3,51.5,0.0
부산,2019-03-01,13.3,34.3,18.9,105.1,4.9,2.9,75.4,0.0
부산,2019-04-01,13.7,34.2,16.1,0.5,4.6,2.6,85.0,0.0
부산,2019-05-01,16.3,33.9,17.4,0.5,4.3,2.6,76.1,0.0
부산,2019-06-01,18.7,33.4,20.0,0.5,5.0,2.2,324.3,0.0
부산,2019-07-01,21.5,31.4,21.6,0.6,5.5,3.0,358.9,0.0
부산,2019-08-01,25.0,32.2,22.9,100.9,6.3,2.5,156.3,0.0
부산,2019-09-01,23.4,31.2,18.6,141.5,6.1,2.2,279.0,0.0
부산,2019-10-01,21.4,31.4,17.4,145.7,6.1,2.4,139.9,0.0
부산,2019-11-01,17.4,32.2,18.2,0.5,5.6,1.6,13.8,0.0
부산,2019-12-01,14.2,34.0,18.3,98.8,5.2,1.2,50.3,0.0
부산,2020-01-01,12.8,34.1,17.3,131.5,5.6,2.4,127.7,0.0
부산,2020-02-01,12.6,34.1,18.0,109.7,5.4,2.4,94.9,0.0
부산,2020-03-01,13.0,34.3,18.6,114.4,5.4,2.7,58.8,0.0
부산,2020-04-01,14.0,34.3,17.8,117.4,5.3,2.9,83.5,0.0
부산,2020-05-01,16.5,33.7,19.6,90.3,5.1,2.0,96.2,0.0
부산,2020-06-01,18.6,33.4,21.5,88.4,5.6,2.4,321.1,0.0
