지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
전남,2015-01-01,6.5,30.4,38.0,0.8,5.7,3.2,41.1,4.0
전남,2015-02-01,6.0,31.1,41.5,0.7,5.3,3.4,25.7,0.2
전남,2015-03-01,7.3,31.8,39.0,0.6,1.9,3.0,34.4,0.0
전남,2015-04-01,11.9,31.0,41.9,0.7,5.8,3.0,159.6,0.0
전남,2015-05-01,16.0,28.5,38.1,0.5,5.8,3.2,77.8,0.0
전남,2015-06-01,19.8,27.6,38.0,0.5,5.3,3.0,117.8,0.0
전남,2015-07-01,22.1,27.4,52.0,0.8,7.9,2.9,159.6,0.0
전남,2015-08-01,24.9,29.7,57.0,0.3,5.5,2.5,86.5,0.0
전남,2015-09-01,23.7,30.8,52.1,91.1,5.5,2.7,79.5,0.0
전남,2015-10-01,20.9,30.1,52.0,0.6,6.2,2.9,84.2,0.0
전남,2015-11-01,16.4,29.3,48.6,0.6,4.9,2.8,106.8,0.3
전남,2015-12-01,11.2,28.6,49.6,0.7,5.1,3.5,68.6,3.3
전남,2016-01-01,7.6,29.8,31.3,0.6,4.0,3.4,79.2,25.0
전남,2016-02-01,5.5,28.4,32.3,0.8,5.3,3.5,40.5,2.1
전남,2016-03-01,7.6,30.4,29.8,0.6,5.2,3.1,54.9,0.0
전남,2016-04-01,12.3,29.2,31.5,0.6,5.2,3.4,192.0,0.0
전남,2016-05-01,16.8,28.5,30.0,0.5,5.2,3.4,119.9,0.0
전남,2016-06-01,20.4,26.4,29.4,0.6,5.6,2.9,133.6,0.0
전남,2016-07-01,22.8,26.0,31.2,0.8,6.1,3.3,249.2,0.0
전남,2016-08-01,26.7,30.2,30.6,0.5,6.4,3.0,20.4,0.0
전남,2016-09-01,24.3,28.2,30.4,0.7,7.6,2.5,197.8,0.0
전남,2016-10-01,21.0,20.6,30.8,0.8,6.2,3.0,203.1,0.0
전남,2016-11-01,15.4,29.1,30.3,0.7,5.3,3.0,61.5,0.0
전남,2016-12-01,10.2,30.5,29.2,0.7,5.7,3.1,45.9,0.0
전남,2017-01-01,7.1,30.9,31.7,0.6,5.3,2.9,13.9,1.8
전남,2017-02-01,5.2,31.1,29.7,0.7,5.3,3.3,32.3,9.1
전남,2017-03-01,7.3,31.4,30.9,0.6,4.9,3.2,28.5,0.0
전남,2017-04-01,11.9,31.4,30.4,0.5,4.9,3.1,46.5,0.0
전남,2017-05-01,16.7,32.6,29.8,0.5,4.7,2.8,14.0,0.0
전남,2017-06-01,20.5,33.2,29.6,0.5,5.6,3.1,28.5,0.0
전남,2017-07-01,23.4,31.8,32.2,0.8,6.0,2.7,138.2,0.0
전남,2017-08-01,25.5,28.4,30.8,0.3,4.5,3.1,201.8,0.0
전남,2017-09-01,24.3,28.7,32.0,0.3,3.9,2.5,109.4,0.0
전남,2017-10-01,20.5,30.8,28.5,0.7,6.6,2.6,62.7,0.0
전남,2017-11-01,14.9,31.3,30.0,0.7,6.1,3.0,1.4,0.0
전남,2017-12-01,8.7,31.7,30.3,1.0,7.1,2.7,45.3,5.7
전남,2018-01-01,5.7,31.4,31.3,0.8,5.8,3.0,58.0,21.2
전남,2018-02-01,3.9,31.7,31.0,0.7,5.3,3.2,39.3,18.3
전남,2018-03-01,7.0,29.7,32.1,0.7,6.5,2.6,152.7,0.0
전남,2018-04-01,12.2,29.1,32.1,0.7,5.5,2.9,169.0,0.0
전남,2018-05-01,16.6,29.9,31.5,0.7,5.6,3.2,89.3,0.0
전남,2018-06-01,20.8,31.2,28.9,0.6,6.7,3.0,162.0,0.0
전남,2018-07-01,24.4,28.9,30.0,0.7,7.2,3.3,67.6,0.0
전남,2018-08-01,27.5,29.1,34.3,0.8,7.0,3.8,246.2,0.0
전남,2018-09-01,24.7,25.8,31.1,0.7,6.9,2.7,151.4,0.0
