지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
전북,2015-01-01,4.3,26.7,38.0,0.4,4.4,4.3,44.1,0
전북,2015-02-01,4.1,26.4,41.5,0.4,4.2,4.2,20.5,0
전북,2015-03-01,6.0,26.7,39.0,0.3,4.1,4.0,41.0,0
전북,2015-04-01,10.4,26.8,41.9,0.3,3.9,3.5,129.2,0
전북,2015-05-01,15.7,26.5,38.1,0.3,3.7,3.2,44.1,0
전북,2015-06-01,20.3,27.2,38.0,0.3,4.0,3.1,120.3,0
전북,2015-07-01,22.8,27.4,52.0,0.3,5.0,3.7,123.6,0
전북,2015-08-01,26.8,27.8,57.0,0.3,4.9,3.6,59.4,0
전북,2015-09-01,24.3,29.1,52.1,91.1,5.5,3.7,42.4,0
전북,2015-10-01,20.0,29.0,52.0,0.6,6.2,4.1,99.8,0
전북,2015-11-01,15.0,28.9,48.6,0.6,4.9,4.1,125.2,0
전북,2015-12-01,8.8,28.2,49.6,0.4,4.1,4.3,74.5,0
전북,2016-01-01,4.7,29.4,49.3,0.5,4.5,4.3,51.1,0
전북,2016-02-01,3.7,28.3,47.6,0.5,4.6,4.1,40.6,0
전북,2016-03-01,6.3,28.4,47.0,0.3,4.2,3.7,52.0,0
전북,2016-04-01,11.6,28.3,47.0,0.3,4.0,3.1,179.5,0
전북,2016-05-01,16.6,27.5,46.3,0.3,4.0,3.2,99.9,0
전북,2016-06-01,21.5,28.0,45.6,0.3,4.1,2.8,42.0,0
전북,2016-07-01,23.8,23.7,45.2,0.4,4.9,3.0,220.7,0
전북,2016-08-01,27.7,27.8,43.5,0.2,4.0,3.5,30.2,0
전북,2016-09-01,24.5,28.1,46.0,0.3,4.2,3.9,139.3,0
전북,2016-10-01,20.5,29.1,45.6,0.3,4.1,4.4,128.7,0
전북,2016-11-01,13.4,30.2,44.8,0.4,4.2,4.5,34.6,0
전북,2016-12-01,8.0,29.4,45.1,0.5,4.3,4.6,56.9,0
전북,2017-01-01,5.1,27.7,46.3,0.4,4.3,4.4,18.7,0
전북,2017-02-01,3.8,30.5,45.3,0.4,4.3,4.5,37.8,0
전북,2017-03-01,6.7,26.4,46.7,0.3,3.8,3.6,21.9,0
전북,2017-04-01,11.8,31.6,45.1,0.4,3.9,3.4,61.1,0
전북,2017-05-01,17.2,31.3,42.9,0.3,3.8,3.0,38.3,0
전북,2017-06-01,21.4,30.6,42.5,0.3,3.8,3.3,25.2,0
전북,2017-07-01,24.9,27.8,40.4,0.4,4.3,3.1,372.6,0
전북,2017-08-01,26.4,28.2,37.5,0.3,4.5,3.4,137.8,0
전북,2017-09-01,23.7,29.0,42.1,0.3,3.9,3.8,105.0,0
전북,2017-10-01,19.7,30.2,42.2,0.3,3.7,4.1,35.5,0
전북,2017-11-01,12.7,32.0,42.8,0.7,6.1,5.1,10.6,0
전북,2017-12-01,6.0,31.1,43.2,0.5,4.4,4.4,42.0,0
전북,2018-01-01,3.4,27.7,43.0,0.4,4.4,4.1,34.6,0
전북,2018-02-01,1.7,27.0,43.4,0.5,4.1,4.5,31.5,0
전북,2018-03-01,6.0,27.6,44.3,0.3,4.0,3.8,98.5,0
전북,2018-04-01,10.9,28.2,43.0,0.3,4.0,3.9,124.6,0
전북,2018-05-01,15.1,28.0,42.7,0.3,4.0,3.4,112.5,0
전북,2018-06-01,20.1,29.3,41.0,0.3,4.2,3.0,105.0,0
전북,2018-07-01,23.2,26.5,41.8,0.3,5.1,3.1,258.2,0
전북,2018-08-01,27.2,29.0,42.1,0.4,4.9,3.7,299.5,0
전북,2018-09-01,24.2,26.1,45.4,0.3,4.3,4.4,67.0,0
전북,2018-10-01,19.0,28.6,44.1,0.4,4.1,4.5,161.5,0
전북,2018-11-01,14.0,30.3,41.5,0.3,3.8,3.4,39.7,0
전북,2018-12-01,7.9,30.3,43.0,0.4,4.0,4.7,26.4,0
전북,2019-01-01,4.2,30.5,42.4,1.0,5.0,3.5,8.8,0
전북,2019-02-01,4.2,29.7,44.1,0.9,4.9,3.9,25.1,0
전북,2019-03-01,7.1,29.3,42.2,0.8,4.8,3.7,30.4,0
전북,2019-04-01,10.8,30.8,42.3,0.4,3.9,3.2,104.5,0
전북,2019-05-01,15.8,32.3,43.3,0.4,4.1,3.1,60.7,0
전북,2019-06-01,20.4,32.8,39.1,0.3,3.8,2.8,89.0,0
전북,2019-07-01,23.3,33.1,44.6,0.5,6.2,3.2,225.5,0
전북,2019-08-01,26.7,32.5,46.4,0.6,6.2,3.0,127.4,0
전북,2019-09-01,24.2,32.4,47.4,0.6,4.9,4.1,243.0,0
전북,2019-10-01,20.5,31.4,49.2,1.0,4.9,3.8,86.6,0
전북,2019-11-01,14.9,29.7,46.2,1.0,5.2,4.0,55.6,0
전북,2019-12-01,8.6,26.7,45.2,1.2,5.2,4.2,30.9,0
전북,2020-01-01,6.1,25.0,45.6,1.1,4.7,3.9,79.1,0
전북,2020-02-01,6.0,28.7,45.2,0.9,5.0,3.6,59.0,0
전북,2020-03-01,8.0,28.1,46.2,1.1,4.9,4.2,22.1,0
전북,2020-04-01,11.2,29.4,45.2,0.8,4.7,4.2,22.2,0
전북,2020-05-01,15.9,29.4,43.1,0.7,4.9,2.9,111.9,0
전북,2020-06-01,20.8,29.3,45.5,0.6,5.3,2.8,157.6,0
전북,2020-07-01,21.9,25.6,46.0,0.4,4.5,3.0,509.8,0
전북,2020-08-01,24.2,21.6,48.2,0.9,5.9,2.7,421.6,0
전북,2020-09-01,23.1,25.0,47.9,0.7,4.5,4.3,224.3,0
전북,2020-10-01,18.8,28.3,48.5,0.8,4.4,3.7,6.8,0
전북,2020-11-01,13.7,29.0,45.5,1.1,5.3,3.6,49.4,0
전북,2020-12-01,7.3,29.3,45.6,1.2,5.2,3.4,31.0,0
전북,2021-01-01,3.3,28.8,45.5,1.1,5.4,3.4,32.6,0
전북,2021-02-01,4.1,29.2,44.4,1.1,5.2,3.8,23.3,0
전북,2021-03-01,7.5,28.6,38.0,0.6,4.4,3.0,100.4,0
전북,2021-04-01,12.0,28.8,30.5,0.5,4.4,3.3,46.4,0
전북,2021-05-01,16.0,28.7,33.3,0.5,4.2,2.9,81.7,0
전북,2021-06-01,20.5,28.9,31.7,0.3,4.0,2.4,97.1,0
전북,2021-07-01,24.0,28.8,29.5,0.4,5.1,2.4,224.6,0
전북,2021-08-01,26.7,28.9,32.9,0.5,4.3,3.0,409.7,0
전북,2021-09-01,24.7,27.5,30.9,0.5,3.9,3.6,166.6,0
전북,2021-10-01,21.2,28.6,38.7,0.7,4.6,3.1,50.3,0
전북,2021-11-01,14.8,29.4,41.2,1.0,4.8,3.8,100.3,0
전북,2021-12-01,8.6,29.3,42.4,1.3,5.5,3.9,21.0,0
전북,2022-01-01,4.3,29.5,41.9,1.0,5.0,3.5,5.2,0
전북,2022-02-01,3.7,29.5,42.5,0.4,4.2,3.9,11.0,0
전북,2022-03-01,6.8,29.5,43.6,0.7,4.7,3.2,69.7,0
전북,2022-04-01,12.1,29.2,40.8,0.4,4.2,3.1,58.3,0
전북,2022-05-01,17.1,29.8,38.8,0.5,4.1,3.3,7.2,0
