지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
제주,2015-01-01,15.9,33.2,38.0,93.0,4.5,3.2,82.4,1.8
제주,2015-02-01,15.2,33.1,41.5,86.9,4.3,3.4,35.5,0.5
제주,2015-03-01,14.6,32.9,39.0,63.9,4.6,3.0,80.7,0.0
제주,2015-04-01,14.9,32.2,41.9,83.5,5.1,3.0,147.9,0.0
제주,2015-05-01,16.8,31.3,38.1,46.8,4.7,3.2,150.0,0.0
제주,2015-06-01,18.7,31.5,38.0,53.6,4.7,3.0,186.4,0.0
제주,2015-07-01,21.3,29.3,52.0,89.4,5.7,2.9,329.7,0.0
제주,2015-08-01,24.2,29.7,57.0,64.5,5.5,2.5,248.6,0.0
제주,2015-09-01,24.3,30.2,52.1,91.1,5.5,2.7,172.9,0.0
제주,2015-10-01,22.0,31.0,52.0,71.7,4.8,2.9,31.0,0.0
제주,2015-11-01,20.8,32.3,48.6,89.7,4.7,2.8,173.2,0.0
제주,2015-12-01,18.5,32.6,49.6,87.6,4.4,1.3,90.0,0.0
제주,2016-01-01,16.4,32.8,35.1,97.2,4.4,1.7,125.6,12.0
제주,2016-02-01,15.7,32.9,34.7,95.7,4.6,2.1,40.0,0.0
제주,2016-03-01,15.4,33.1,23.4,74.7,4.5,1.5,96.9,0.0
제주,2016-04-01,16.1,32.9,35.3,75.5,5.1,1.6,121.4,0.0
제주,2016-05-01,17.3,32.6,34.9,56.7,4.6,1.2,113.0,0.0
제주,2016-06-01,19.3,31.3,34.6,56.1,5.0,1.5,162.7,0.0
제주,2016-07-01,21.9,29.9,47.5,68.8,5.2,1.3,98.6,0.0
제주,2016-08-01,27.0,26.8,50.5,63.9,4.9,1.3,75.6,0.0
제주,2016-09-01,24.3,30.1,42.2,76.6,5.3,1.0,172.3,0.0
제주,2016-10-01,22.9,31.2,36.6,102.3,5.0,1.2,282.4,0.0
제주,2016-11-01,21.7,32.8,34.9,86.4,4.6,1.2,71.3,0.0
제주,2016-12-01,19.3,33.3,34.6,85.2,4.4,1.5,56.6,0.0
제주,2017-01-01,17.1,33.4,35.6,87.7,4.3,1.4,50.7,0.0
제주,2017-02-01,16.3,31.9,36.4,90.4,4.4,1.9,39.1,2.8
제주,2017-03-01,15.5,33.4,35.8,71.8,4.4,1.1,48.2,0.0
제주,2017-04-01,15.8,33.1,37.2,67.5,4.5,1.3,51.4,0.0
제주,2017-05-01,17.3,33.0,29.8,42.0,4.7,1.1,38.5,0.0
제주,2017-06-01,20.2,32.1,29.6,49.7,4.8,1.2,60.7,0.0
제주,2017-07-01,22.8,31.2,32.2,68.0,5.0,1.6,35.2,0.0
제주,2017-08-01,25.5,28.4,30.8,74.7,5.1,3.1,159.5,0.0
제주,2017-09-01,24.3,28.7,21.0,73.5,4.9,2.5,83.4,0.0
제주,2017-10-01,23.0,32.0,30.6,106.2,5.5,1.1,162.0,0.0
제주,2017-11-01,21.4,32.9,37.8,0.7,6.1,0.8,19.2,0.0
제주,2017-12-01,18.1,33.2,35.7,76.7,4.4,0.6,25.4,0.0
제주,2018-01-01,15.9,33.2,34.5,84.0,4.3,0.8,58.0,7.0
제주,2018-02-01,14.9,33.3,36.1,86.4,4.3,0.9,86.6,14.4
제주,2018-03-01,15.0,33.1,36.1,89.5,5.1,1.4,118.0,0.0
제주,2018-04-01,16.0,33.1,34.8,81.7,4.9,1.3,112.5,0.0
제주,2018-05-01,16.9,32.4,34.7,83.5,5.0,1.3,98.8,0.0
제주,2018-06-01,20.6,31.0,39.8,66.9,5.2,0.9,211.1,0.0
제주,2018-07-01,23.2,30.2,36.7,73.1,5.5,0.8,48.7,0.0
제주,2018-08-01,25.9,30.0,40.0,90.3,5.5,1.6,376.5,0.0
제주,2018-09-01,23.1,31.0,35.5,82.1,5.8,1.3,187.7,0.0
제주,2018-10-01,22.5,31.7,36.1,73.6,4.5,1.4,347.0,0.0
제주,2018-11-01,20.9,32.6,35.3,59.1,4.3,1.0,28.6,0.0
제주,2018-12-01,19.3,32.9,34.2,86.3,4.3,1.2,96.0,0.0
제주,2019-01-01,17.4,33.3,33.6,77.4,3.9,1.3,24.2,0.0
제주,2019-02-01,16.2,33.1,34.3,77.5,4.2,1.2,37.9,0.0
제주,2019-03-01,15.8,32.9,35.0,77.1,4.5,2.0,55.5,0.0
제주,2019-04-01,16.4,32.9,33.8,69.6,4.6,1.5,46.4,0.0
제주,2019-05-01,18.0,31.4,36.0,55.5,4.4,1.5,42.8,0.0
제주,2019-06-01,20.3,31.8,32.0,54.7,5.3,1.4,145.8,0.0
제주,2019-07-01,21.8,29.6,34.5,78.2,6.2,1.3,510.1,0.0
제주,2019-08-01,25.0,29.0,37.8,61.2,5.4,1.4,242.3,0.0
제주,2019-09-01,24.5,28.6,42.1,105.2,5.6,1.1,610.6,0.0
