지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
충남,2015-01-01,2.7,27.8,38.0,0.4,4.4,4.0,20.7,0.5
충남,2015-02-01,2.9,27.9,41.5,0.4,4.2,4.5,23.1,0.0
충남,2015-03-01,5.2,29.2,39.0,0.3,4.1,4.4,20.6,0.0
충남,2015-04-01,9.8,28.8,41.9,0.3,3.9,3.6,116.8,0.0
충남,2015-05-01,15.3,29.1,38.1,0.3,3.7,3.5,40.6,0.0
충남,2015-06-01,20.3,30.1,38.0,0.3,4.0,3.3,64.1,0.0
충남,2015-07-01,23.2,29.7,52.0,0.3,5.0,3.3,158.5,0.0
충남,2015-08-01,25.6,28.1,57.0,0.3,4.9,3.0,63.1,0.0
충남,2015-09-01,24.5,29.7,52.1,91.1,5.5,3.1,15.1,0.0
충남,2015-10-01,20.3,26.6,52.0,0.6,6.2,3.9,73.1,0.0
충남,2015-11-01,15.2,26.6,48.6,0.6,4.9,3.4,156.6,13.5
충남,2015-12-01,8.8,26.3,49.6,0.4,4.1,3.5,63.6,12.5
충남,2016-01-01,4.3,31.6,36.4,0.5,4.5,3.8,21.9,14.1
충남,2016-02-01,2.7,31.7,38.4,0.5,4.6,4.5,61.7,7.0
충남,2016-03-01,5.4,28.0,36.7,0.3,4.2,3.7,24.3,4.6
충남,2016-04-01,10.9,27.4,35.4,0.3,4.0,3.4,87.0,0.0
충남,2016-05-01,15.7,25.8,34.1,0.3,4.0,2.6,153.7,0.0
충남,2016-06-01,20.6,27.2,34.0,0.3,4.1,3.3,36.8,0.0
충남,2016-07-01,23.2,24.6,32.8,0.4,4.9,3.1,295.6,0.0
충남,2016-08-01,26.8,24.6,33.9,0.2,4.0,3.6,34.0,0.0
충남,2016-09-01,24.7,25.5,35.3,0.3,4.2,2.9,53.1,0.0
충남,2016-10-01,20.8,26.2,34.5,0.3,4.1,3.5,73.8,0.0
충남,2016-11-01,13.5,31.7,33.7,0.4,4.2,3.7,17.5,0.0
충남,2016-12-01,7.9,31.6,33.6,0.5,4.3,3.9,62.7,1.8
충남,2017-01-01,4.4,31.4,46.3,0.4,4.3,3.9,21.3,6.5
충남,2017-02-01,2.6,30.3,45.3,0.4,4.3,4.7,31.4,0.0
충남,2017-03-01,5.6,31.9,46.7,0.3,3.8,4.2,4.8,3.5
충남,2017-04-01,11.0,31.6,45.1,0.4,3.9,3.9,38.9,0.0
충남,2017-05-01,16.6,30.5,42.9,0.3,3.8,3.7,27.9,0.0
충남,2017-06-01,21.2,31.5,42.5,0.3,3.8,4.0,23.3,0.0
충남,2017-07-01,23.8,29.0,40.4,0.4,4.3,2.6,327.8,0.0
충남,2017-08-01,25.0,28.2,37.5,0.3,4.5,3.1,231.3,0.0
충남,2017-09-01,23.9,29.0,42.1,0.3,3.9,3.3,37.6,0.0
충남,2017-10-01,20.1,30.2,42.2,0.3,3.7,3.5,25.5,0.0
충남,2017-11-01,13.1,29.2,42.8,0.3,4.0,4.1,24.7,0.0
충남,2017-12-01,5.4,31.1,43.2,0.5,4.4,3.9,35.9,0.0
충남,2018-01-01,2.1,31.4,36.5,0.4,4.4,3.9,21.0,0.0
충남,2018-02-01,0.3,31.5,36.4,0.5,4.1,4.4,40.5,0.0
충남,2018-03-01,4.7,30.8,37.2,0.3,4.0,3.6,76.6,0.0
충남,2018-04-01,9.6,30.6,35.6,0.3,4.0,4.0,132.8,0.0
충남,2018-05-01,14.0,29.4,34.4,0.3,4.0,3.7,147.7,0.0
충남,2018-06-01,18.9,29.9,33.1,0.3,4.2,3.2,162.3,0.0
충남,2018-07-01,22.1,28.1,33.5,0.3,5.1,2.8,152.9,0.0
충남,2018-08-01,27.0,30.2,33.0,0.4,4.9,3.5,156.8,0.0
충남,2018-09-01,24.2,29.5,34.3,0.3,4.3,4.0,82.7,0.0
충남,2018-10-01,19.1,29.5,33.8,0.4,4.1,3.8,153.2,0.0
충남,2018-11-01,14.2,29.7,32.8,0.3,3.8,2.7,73.9,0.0
충남,2018-12-01,11.4,30.1,32.5,0.4,4.0,4.0,26.8,0.0
충남,2019-01-01,8.7,32.7,32.8,0.4,4.2,3.6,1.1,0.0
충남,2019-02-01,4.0,32.9,34.7,0.3,4.0,3.6,30.2,0.0
