지역,일시,수온,염분,유속,유의파고,유의파주기,풍속,월합강수량,최심적설
통영,2015-01-01,6.4,34.6,38.0,123.7,5.5,1.4,60.8,0
통영,2015-02-01,6.5,34.8,41.5,125.7,5.5,1.7,57.1,0
통영,2015-03-01,8.6,34.6,39.0,99.4,5.6,1.8,101.4,0
통영,2015-04-01,12.7,33.6,41.9,121.2,5.4,2.4,301.0,0
통영,2015-05-01,16.9,32.5,38.1,64.3,5.0,1.9,160.1,0
통영,2015-06-01,19.8,32.5,38.0,75.8,5.5,1.7,85.8,0
통영,2015-07-01,23.2,31.5,52.0,128.8,6.4,2.2,180.9,0
통영,2015-08-01,25.9,30.9,57.0,94.7,6.6,1.7,171.4,0
통영,2015-09-01,25.6,30.4,52.1,128.9,5.7,2.2,123.0,0
통영,2015-10-01,22.7,31.0,52.0,96.7,5.0,1.7,73.8,0
통영,2015-11-01,17.7,31.9,48.6,123.4,5.7,1.9,97.2,0
통영,2015-12-01,11.9,32.9,49.6,108.2,5.0,1.3,51.3,0
통영,2016-01-01,7.1,34.2,23.6,137.6,5.4,1.6,70.7,0
통영,2016-02-01,6.3,34.4,21.5,134.0,5.5,1.8,93.2,0
통영,2016-03-01,9.2,34.0,17.0,0.6,5.3,1.8,133.1,0
통영,2016-04-01,13.3,33.2,28.0,117.5,5.6,1.9,262.9,0
통영,2016-05-01,16.9,33.3,26.5,81.5,4.9,2.5,106.8,0
통영,2016-06-01,21.0,32.2,24.0,82.2,5.7,1.9,112.7,0
통영,2016-07-01,23.3,31.6,32.2,88.2,5.7,1.9,235.5,0
통영,2016-08-01,28.9,30.3,28.3,97.0,5.4,2.1,61.7,0
통영,2016-09-01,27.0,28.8,24.8,127.6,6.3,2.0,543.3,0
통영,2016-10-01,23.1,29.3,21.8,124.7,5.4,2.4,194.0,0
통영,2016-11-01,17.1,31.5,24.6,103.6,5.3,1.5,61.7,0
통영,2016-12-01,11.4,33.1,29.8,119.0,5.6,1.4,118.1,0
통영,2017-01-01,7.8,34.1,27.2,123.3,5.6,1.6,16.2,0
통영,2017-02-01,6.6,32.9,33.2,133.3,5.5,1.6,43.0,0
통영,2017-03-01,9.7,34.5,27.2,93.6,5.0,1.7,32.6,0
통영,2017-04-01,13.8,33.8,26.7,99.2,5.2,2.1,148.5,0
통영,2017-05-01,18.1,33.3,22.9,65.6,4.8,1.8,34.8,0
통영,2017-06-01,21.3,32.9,12.7,74.6,5.4,1.9,68.4,0
통영,2017-07-01,23.2,32.2,19.5,77.0,5.3,1.9,223.3,0
통영,2017-08-01,28.7,31.7,24.2,102.7,5.4,2.0,169.7,0
통영,2017-09-01,24.6,31.5,26.1,104.8,5.3,2.2,362.2,0
통영,2017-10-01,20.6,32.2,29.4,150.3,6.0,2.4,132.1,0
통영,2017-11-01,16.0,32.8,31.9,83.7,5.3,1.3,1.0,0
통영,2017-12-01,9.8,33.3,27.7,98.4,5.4,1.3,17.6,0
통영,2018-01-01,7.2,33.6,23.3,110.7,5.6,1.4,33.8,0
통영,2018-02-01,6.4,33.9,25.4,108.2,5.6,1.6,40.9,0
통영,2018-03-01,9.9,33.5,23.9,155.6,6.0,2.4,222.3,0
통영,2018-04-01,13.4,33.6,24.0,112.7,5.3,2.2,170.4,0
통영,2018-05-01,16.1,33.3,23.6,109.2,5.2,2.3,227.2,0
통영,2018-06-01,19.4,33.3,17.8,96.1,5.5,2.1,306.5,0
통영,2018-07-01,22.7,31.8,19.0,112.8,6.6,1.9,139.2,0
통영,2018-08-01,26.2,32.4,20.1,117.3,6.1,2.5,177.4,0
통영,2018-09-01,23.2,31.8,26.4,117.4,5.9,2.1,529.4,0
통영,2018-10-01,19.9,31.9,26.1,110.4,5.2,1.8,170.3,0
통영,2018-11-01,16.2,33.1,22.9,71.5,4.9,1.3,41.8,0
통영,2018-12-01,11.3,33.3,22.9,105.3,5.1,1.3,59.5,0
통영,2019-01-01,7.9,33.7,26.3,104.6,5.2,1.3,18.3,0
통영,2019-02-01,8.5,33.8,26.3,97.6,5.0,1.5,53.2,0
통영,2019-03-01,11.5,34.0,26.3,105.1,4.9,1.9,65.6,0
통영,2019-04-01,13.8,34.1,21.5,95.3,5.0,1.9,105.6,0
통영,2019-05-01,17.0,33.8,20.5,67.7,4.5,1.8,95.2,0
통영,2019-06-01,19.8,33.3,16.0,81.0,5.5,1.7,411.3,0
통영,2019-07-01,21.9,32.2,28.4,105.1,5.8,2.2,329.3,0
통영,2019-08-01,24.7,32.3,35.2,100.9,6.3,1.7,79.2,0
통영,2019-09-01,23.7,32.1,28.6,141.5,6.1,2.2,237.1,0
통영,2019-10-01,21.4,30.1,24.6,145.7,6.1,2.1,223.9,0
통영,2019-11-01,17.4,32.2,30.7,101.7,5.2,1.6,26.1,0
통영,2019-12-01,12.0,33.0,31.3,98.8,5.2,1.2,39.8,0
통영,2020-01-01,9.3,33.3,27.6,131.5,5.6,1.6,124.6,0
통영,2020-02-01,9.7,33.3,32.5,109.5,5.4,1.6,75.0,0
통영,2020-03-01,11.5,33.6,32.4,114.4,5.4,1.9,61.8,0
통영,2020-04-01,13.7,33.8,31.2,117.4,5.3,2.1,72.2,0
통영,2020-05-01,16.5,33.7,31.3,90.3,5.1,2.0,119.5,0
통영,2020-06-01,19.8,33.5,31.4,88.4,5.6,1.8,371.3,0
통영,2020-07-01,20.9,31.4,33.3,107.0,6.0,1.6,607.8,0
통영,2020-08-01,22.4,30.8,43.1,115.4,5.9,2.2,273.4,0
통영,2020-09-01,23.3,30.6,32.2,147.9,6.1,2.6,338.2,0
통영,2020-10-01,20.5,31.5,31.2,103.2,4.9,1.9,28.0,0
통영,2020-11-01,16.6,32.5,39.4,96.5,5.1,1.4,54.4,0
통영,2020-12-01,10.5,33.0,34.1,92.6,4.8,1.2,11.5,0
통영,2021-01-01,7.1,33.5,31.8,128.9,5.6,1.6,19.3,0
통영,2021-02-01,8.6,33.7,34.2,138.6,5.6,2.0,70.3,0
통영,2021-03-01,11.1,33.7,28.4,122.6,5.5,2.0,157.8,0
통영,2021-04-01,14.3,33.7,26.0,127.3,5.7,2.3,103.1,0
통영,2021-05-01,16.9,33.7,27.8,97.6,5.2,2.1,163.1,0
통영,2021-06-01,19.7,33.4,21.2,78.5,5.4,1.7,182.3,0
통영,2021-07-01,23.7,32.0,31.3,104.5,5.9,2.2,404.5,0
통영,2021-08-01,26.8,31.1,30.0,120.2,6.1,2.1,477.0,0
통영,2021-09-01,24.6,30.3,25.3,136.3,5.7,2.6,145.5,0
통영,2021-10-01,22.1,31.4,28.1,98.8,5.6,1.6,5.9,0
통영,2021-11-01,17.2,32.5,33.7,102.2,5.0,1.6,67.1,0
통영,2021-12-01,11.8,33.1,33.6,119.0,5.4,1.2,4.2,0
통영,2022-01-01,8.5,33.6,30.5,104.3,5.9,1.2,0.0,0
통영,2022-02-01,7.9,33.8,28.6,116.3,5.2,1.5,0.0,0
통영,2022-03-01,10.3,33.9,32.8,109.1,5.3,1.9,121.0,0
통영,2022-04-01,14.2,33.7,27.7,94.5,5.1,1.9,191.7,0
통영,2022-05-01,17.4,33.2,27.7,64.6,4.4,1.8,0.1,0
통영,2022-06-01,20.0,33.3,29.6,105.1,5.3,2.4,101.5,0
통영,2022-07-01,22.9,33.3,39.4,88.0,5.8,1.6,151.8,0
