품목명,날짜,생산,수입,판매
CutlassFish,2015-01-01,2178,1529,4067
CutlassFish,2015-02-01,1946,928,2391
CutlassFish,2015-03-01,1753,1795,4994
CutlassFish,2015-04-01,1845,1377,3371
CutlassFish,2015-05-01,209,2102,3186
CutlassFish,2015-06-01,497,2208,3239
CutlassFish,2015-07-01,2252,2723,5231
CutlassFish,2015-08-01,8810,3051,11357
CutlassFish,2015-09-01,7062,2955,9429
CutlassFish,2015-10-01,5051,2916,8112
CutlassFish,2015-11-01,5390,3218,7702
CutlassFish,2015-12-01,4062,3214,6713
CutlassFish,2016-01-01,3566,1873,5121
CutlassFish,2016-02-01,2868,2125,4898
CutlassFish,2016-03-01,2573,1643,5085
CutlassFish,2016-04-01,692,1601,3117
CutlassFish,2016-05-01,653,2260,3370
CutlassFish,2016-06-01,1692,3522,4884
CutlassFish,2016-07-01,1990,2756,4126
CutlassFish,2016-08-01,3223,3914,6254
CutlassFish,2016-09-01,4007,2402,4938
CutlassFish,2016-10-01,3714,1417,6167
CutlassFish,2016-11-01,3797,1795,4975
CutlassFish,2016-12-01,3558,1715,4263
CutlassFish,2017-01-01,2016,2131,3176
CutlassFish,2017-02-01,914,1744,4385
CutlassFish,2017-03-01,1931,1989,3346
CutlassFish,2017-04-01,2577,1324,6167
CutlassFish,2017-05-01,2096,1728,2992
CutlassFish,2017-06-01,5620,1608,5083
CutlassFish,2017-07-01,5980,3155,10931
CutlassFish,2017-08-01,9507,2664,11158
CutlassFish,2017-09-01,8365,2022,9948
CutlassFish,2017-10-01,3775,1846,5660
CutlassFish,2017-11-01,7265,1635,9170
CutlassFish,2017-12-01,4438,1579,5765
CutlassFish,2018-01-01,2920,1563,4564
CutlassFish,2018-02-01,1722,1577,3325
CutlassFish,2018-03-01,3170,1370,5629
CutlassFish,2018-04-01,2286,1115,3302
CutlassFish,2018-05-01,5103,1310,6847
CutlassFish,2018-06-01,5106,2191,6742
CutlassFish,2018-07-01,4765,1866,6884
CutlassFish,2018-08-01,4332,1914,6488
CutlassFish,2018-09-01,6646,932,7096
CutlassFish,2018-10-01,5867,1254,7417
CutlassFish,2018-11-01,6086,1220,6418
CutlassFish,2018-12-01,5131,1410,6390
CutlassFish,2019-01-01,3111,1146,4487
CutlassFish,2019-02-01,492,1132,2297
CutlassFish,2019-03-01,1558,1419,4187
CutlassFish,2019-04-01,1178,1318,2560
CutlassFish,2019-05-01,807,1686,2733
CutlassFish,2019-06-01,3057,1382,4292
CutlassFish,2019-07-01,3765,1152,5703
CutlassFish,2019-08-01,4601,1414,5625
CutlassFish,2019-09-01,4192,1242,6640
CutlassFish,2019-10-01,5851,1110,6658
CutlassFish,2019-11-01,8691,1480,9730
CutlassFish,2019-12-01,6178,1176,7011
CutlassFish,2020-01-01,3649,1000,4858
CutlassFish,2020-02-01,3575,643,4416
CutlassFish,2020-03-01,2941,1115,3196
CutlassFish,2020-04-01,2097,1041,4063
CutlassFish,2020-05-01,2342,1287,4757
CutlassFish,2020-06-01,5135,1741,4437
CutlassFish,2020-07-01,4720,1738,6372
CutlassFish,2020-08-01,6256,1956,7208
CutlassFish,2020-09-01,6413,1843,7973
CutlassFish,2020-10-01,6614,2587,9114
CutlassFish,2020-11-01,11197,2455,12475
CutlassFish,2020-12-01,10701,1624,13610
CutlassFish,2021-01-01,3434,1247,3909
CutlassFish,2021-02-01,3643,958,5337
CutlassFish,2021-03-01,3323,970,4711
CutlassFish,2021-04-01,2160,852,4519
CutlassFish,2021-05-01,1996,1148,4867
CutlassFish,2021-06-01,5345,1202,4989
CutlassFish,2021-07-01,5354,2316,6011
CutlassFish,2021-08-01,6107,1274,6355
CutlassFish,2021-09-01,6678,1542,9231
CutlassFish,2021-10-01,7985,1363,6652
CutlassFish,2021-11-01,9986,1869,10637
CutlassFish,2021-12-01,7063,987,9743
CutlassFish,2022-01-01,5905,774,4613
CutlassFish,2022-02-01,2055,525,4006
CutlassFish,2022-03-01,3098,1059,4400
CutlassFish,2022-04-01,2561,674,4289
