품목명,날짜,생산,수입,판매
Mackerel,2015-01-01,15610,10685,5580
Mackerel,2015-02-01,7198,4524,9535
Mackerel,2015-03-01,14569,7566,19868
Mackerel,2015-04-01,10414,6118,17010
Mackerel,2015-05-01,347,3756,8514
Mackerel,2015-06-01,3804,3263,15232
Mackerel,2015-07-01,6843,2297,15270
Mackerel,2015-08-01,17476,1056,17691
Mackerel,2015-09-01,12322,768,16898
Mackerel,2015-10-01,13683,1207,13544
Mackerel,2015-11-01,15341,3481,13688
Mackerel,2015-12-01,14127,6707,12138
Mackerel,2016-01-01,15197,5067,22450
Mackerel,2016-02-01,2245,4484,21402
Mackerel,2016-03-01,3452,3954,20385
Mackerel,2016-04-01,5548,4605,15492
Mackerel,2016-05-01,2248,3880,15098
Mackerel,2016-06-01,2043,5000,9519
Mackerel,2016-07-01,5630,2184,12759
Mackerel,2016-08-01,13535,1789,16271
Mackerel,2016-09-01,19171,656,21386
Mackerel,2016-10-01,19842,703,17273
Mackerel,2016-11-01,28587,2645,18378
Mackerel,2016-12-01,15714,9958,9177
Mackerel,2017-01-01,9185,8578,7399
Mackerel,2017-02-01,2479,4650,14001
Mackerel,2017-03-01,1716,3584,13778
Mackerel,2017-04-01,217,3921,10403
Mackerel,2017-05-01,827,4320,11478
Mackerel,2017-06-01,2158,3289,14986
Mackerel,2017-07-01,7920,2087,15918
Mackerel,2017-08-01,14620,1828,17639
Mackerel,2017-09-01,11948,1197,20428
Mackerel,2017-10-01,6078,1169,8001
Mackerel,2017-11-01,11424,2918,17773
Mackerel,2017-12-01,35309,7746,22867
Mackerel,2018-01-01,15097,10666,17730
Mackerel,2018-02-01,2936,6115,5712
Mackerel,2018-03-01,11523,4597,17644
Mackerel,2018-04-01,3371,4177,11500
Mackerel,2018-05-01,278,2824,11387
Mackerel,2018-06-01,870,3253,13448
Mackerel,2018-07-01,11290,1959,11995
Mackerel,2018-08-01,17159,1219,13851
Mackerel,2018-09-01,29184,1615,24739
Mackerel,2018-10-01,17429,1189,11363
Mackerel,2018-11-01,21056,900,16024
Mackerel,2018-12-01,11330,3675,13563
Mackerel,2019-01-01,16329,5771,24238
Mackerel,2019-02-01,1907,3844,7960
Mackerel,2019-03-01,1792,4736,6655
Mackerel,2019-04-01,1030,4060,3488
Mackerel,2019-05-01,573,3599,7026
Mackerel,2019-06-01,696,2402,20818
Mackerel,2019-07-01,2085,4471,9263
Mackerel,2019-08-01,7249,3709,18235
Mackerel,2019-09-01,8289,1396,20770
Mackerel,2019-10-01,9171,1658,15740
Mackerel,2019-11-01,12690,2744,13746
Mackerel,2019-12-01,39570,4702,22745
Mackerel,2020-01-01,5801,5963,17046
Mackerel,2020-02-01,9980,2801,12162
Mackerel,2020-03-01,3712,9273,9793
Mackerel,2020-04-01,516,5201,14683
Mackerel,2020-05-01,520,2412,8201
Mackerel,2020-06-01,1418,2844,13148
Mackerel,2020-07-01,7320,3010,9511
Mackerel,2020-08-01,5363,2428,10625
Mackerel,2020-09-01,7485,1529,16057
Mackerel,2020-10-01,9131,1242,12926
Mackerel,2020-11-01,14149,1287,6702
Mackerel,2020-12-01,12002,8625,6712
Mackerel,2021-01-01,11482,9372,8850
Mackerel,2021-02-01,7213,4413,12625
Mackerel,2021-03-01,5862,10083,5768
Mackerel,2021-04-01,2785,6900,13799
Mackerel,2021-05-01,327,7977,15589
Mackerel,2021-06-01,1085,3322,5866
Mackerel,2021-07-01,3674,2333,6275
Mackerel,2021-08-01,7869,1132,11034
Mackerel,2021-09-01,16622,580,20340
Mackerel,2021-10-01,15009,639,12318
Mackerel,2021-11-01,18536,1441,11776
Mackerel,2021-12-01,31327,6172,18572
Mackerel,2022-01-01,15253,10092,16696
Mackerel,2022-02-01,2865,4727,15336
Mackerel,2022-03-01,4350,4977,9682
Mackerel,2022-04-01,492,4750,13171
Mackerel,2022-05-01,1048,5589,21278
Mackerel,2022-06-01,1608,3975,4611
Mackerel,2022-07-01,6878,7396,18435
Mackerel,2022-08-01,7102,4562,14359
Mackerel,2022-09-01,6332,3371,14477
Mackerel,2022-10-01,5706,655,28363
Mackerel,2022-11-01,25955,550,8645
Mackerel,2022-12-01,19209,1293,9265
Mackerel,2023-01-01,23126,117,15018
Mackerel,2023-02-01,2237,4323,11535
Mackerel,2023-03-01,10321,7704,13240
Mackerel,2023-04-01,7784,8016,14543
Mackerel,2023-05-01,1839,3952,15052
Mackerel,2023-06-01,4293,3327,8301
Mackerel,2023-07-01,11966,1479,10387
Mackerel,2023-08-01,8006,2796,20182
Mackerel,2023-09-01,13365,304,11087
Mackerel,2023-10-01,12652,166,18827
Mackerel,2023-11-01,15704,2089,18822
Mackerel,2023-12-01,8589,10425,11787
Mackerel,2024-01-01,8485,2492,15761
Mackerel,2024-02-01,9062,6068,13439
Mackerel,2024-03-01,3603,3224,7613
Mackerel,2024-04-01,8596,3997,10873
Mackerel,2024-05-01,1523,7041,14278
Mackerel,2024-06-01,6331,969,15551
Mackerel,2024-07-01,11605,1437,11464
Mackerel,2024-08-01,12293,1628,18201
Mackerel,2024-09-01,20714,1755,20102
Mackerel,2024-10-01,18095,1426,23075
Mackerel,2024-11-01,18963,3157,21367
Mackerel,2024-12-01,5423,7035,12847
Mackerel,2025-01-01,20373,6063,18914
Mackerel,2025-02-01,6168,6630,19138
Mackerel,2025-03-01,9508,6732,7439
Mackerel,2025-04-01,7182,5889,18087
Mackerel,2025-05-01,1642,5001,13370
Mackerel,2025-06-01,9959,1949,6840
Mackerel,2025-07-01,5651,2874,20687
