일시,평균기온,평균강수
2015-01-01,0.5,26.1
2015-02-01,2,25.4
2015-03-01,6.7,41.7
2015-04-01,12.7,128.7
2015-05-01,18.6,57.6
2015-06-01,21.7,96
2015-07-01,24.4,181.5
2015-08-01,25.2,113.4
2015-09-01,20.5,56
2015-10-01,15,67
2015-11-01,10.1,125.7
2015-12-01,3.5,40.6
2016-01-01,-0.9,24.6
2016-02-01,1.7,46.7
2016-03-01,7.2,57
2016-04-01,13.8,159.5
2016-05-01,18.6,98.7
2016-06-01,22.3,66.8
2016-07-01,25.4,309.7
2016-08-01,26.7,78.2
2016-09-01,21.6,206.2
2016-10-01,15.8,144.1
2016-11-01,7.8,32.5
2016-12-01,3.1,65
2017-01-01,0.1,14.4
2017-02-01,1.6,30.6
2017-03-01,6.3,23.9
2017-04-01,13.9,71
2017-05-01,18.7,30
2017-06-01,21.8,59.7
2017-07-01,26.4,313.5
2017-08-01,25.4,239.5
2017-09-01,20.6,99.3
2017-10-01,15.3,65.5
2017-11-01,6.8,13.1
2017-12-01,-0.1,22
2018-01-01,-2,21.3
2018-02-01,-0.2,31.9
2018-03-01,8.1,112.3
2018-04-01,13.3,137.1
2018-05-01,17.8,134.1
2018-06-01,22.2,137.5
2018-07-01,26.8,178.9
2018-08-01,27.3,304.3
2018-09-01,20.4,143.7
2018-10-01,13,157.8
2018-11-01,8.1,49.8
2018-12-01,1.1,28.4
2019-01-01,0.3,8
2019-02-01,2.4,32.2
2019-03-01,7.5,39.4
2019-04-01,12,78.9
2019-05-01,18.6,56.7
2019-06-01,21.3,150
2019-07-01,24.8,226.5
2019-08-01,26.2,136.9
2019-09-01,21.8,223
2019-10-01,15.5,160.5
2019-11-01,8.4,57.4
2019-12-01,2.5,26.5
2020-01-01,2.5,83.7
2020-02-01,3.4,58.7
2020-03-01,7.7,29.2
2020-04-01,10.6,41
2020-05-01,17.6,103.5
2020-06-01,22.7,182.9
2020-07-01,22.5,427.7
2020-08-01,26.4,420.8
2020-09-01,20.1,219.1
2020-10-01,13.7,10.5
2020-11-01,8.5,40.8
2020-12-01,0.4,7.8
2021-01-01,-1.1,19.9
2021-02-01,3.4,20.1
2021-03-01,8.7,110.7
2021-04-01,13.2,76.3
2021-05-01,16.6,143.8
2021-06-01,21.7,91.6
2021-07-01,26,233.8
2021-08-01,24.8,288.4
2021-09-01,21.3,145.8
2021-10-01,15.1,53.9
2021-11-01,8.3,58
2021-12-01,1.9,7.2
2022-01-01,-0.8,2.6
2022-02-01,-0.1,3.5
2022-03-01,7.7,89.4
2022-04-01,13.8,59.4
2022-05-01,18,5.8
2022-06-01,22.4,184.7
2022-07-01,25.9,178.4
2022-08-01,25.3,311.5
2022-09-01,21,150.8
2022-10-01,14,77.6
2022-11-01,9.6,61.6
2022-12-01,-1.4,15.2
2023-01-01,-0.6,40.5
2023-02-01,2.5,15.2
2023-03-01,9.4,28.7
2023-04-01,13.1,66.3
2023-05-01,17.9,193.4
2023-06-01,22.3,210
2023-07-01,25.5,506.1
2023-08-01,26.4,299.6
2023-09-01,22.6,197.3
2023-10-01,14.7,17
2023-11-01,7.9,63.4
2023-12-01,2.4,102.9
2024-01-01,0.9,31.9
2024-02-01,4.1,103.3
2024-03-01,6.9,64.7
2024-04-01,14.9,80.4
2024-05-01,17.7,117.6
2024-06-01,22.7,130.5
2024-07-01,26.2,380.8
2024-08-01,27.9,87.3
2024-09-01,24.7,241
2024-10-01,16.1,115.8
2024-11-01,9.7,59.6
2024-12-01,1.8,6.5
2025-01-01,-0.2,16.9
2025-02-01,-0.5,15.7
2025-03-01,7.6,48.3
2025-04-01,13.1,67.3
2025-05-01,16.8,117.3
2025-06-01,22.9,184.7
2025-07-01,27.1,247.6
