retail_pk,item_pk,month_date,production,inbound,sales,temperature_loc1,temperature_loc2,temperature_loc3,temperature_loc4,temperature_loc5,temperature_loc6,temperature_loc7,temperature_loc8,temperature_loc9,wind_loc1,wind_loc2,wind_loc3,wind_loc4,wind_loc5,wind_loc6,wind_loc7,wind_loc8,wind_loc9,salinity_loc1,salinity_loc2,salinity_loc3,salinity_loc4,salinity_loc5,salinity_loc6,salinity_loc7,salinity_loc8,salinity_loc9,wave_height_loc1,wave_height_loc2,wave_height_loc3,wave_height_loc4,wave_height_loc5,wave_height_loc6,wave_height_loc7,wave_height_loc8,wave_height_loc9,wave_period_loc1,wave_period_loc2,wave_period_loc3,wave_period_loc4,wave_period_loc5,wave_period_loc6,wave_period_loc7,wave_period_loc8,wave_period_loc9,wave_speed_loc1,wave_speed_loc2,wave_speed_loc3,wave_speed_loc4,wave_speed_loc5,wave_speed_loc6,wave_speed_loc7,wave_speed_loc8,wave_speed_loc9,rain_loc1,rain_loc2,rain_loc3,rain_loc4,rain_loc5,rain_loc6,rain_loc7,rain_loc8,rain_loc9,snow_loc1,snow_loc2,snow_loc3,snow_loc4,snow_loc5,snow_loc6,snow_loc7,snow_loc8,snow_loc9,ground_pk,temperature,rain,month_num,item_name_Calamari,item_name_CutlassFish,item_name_Mackerel
1,1,2025-01-01,929,929,14298,11.2,3.8,8.9,11.2,7.4,5.3,14.7,4.7,8.6,4.8,4.8,8.1,2.1,2.3,4.1,4.7,4.8,5.7,33.5,31.4,33.2,33.7,30.7,29.7,34.0,31.8,33.2,0.9,1.3,1.3,0.7,0.3,0.4,0.4,0.5,0.4,6.8,3.9,6.8,6.4,3.9,5.4,6.0,4.4,4.8,10.5,31.2,15.7,3.3,30.2,34.7,15.1,33.2,29.1,14.5,19.6,11.8,7.6,19.8,44.8,25.4,38.9,7.4,0.0,6.3,0.0,0.0,4.6,0.0,0.8,0.0,0.0,1,-0.2,16.9,24301,True,False,False
15,3,2025-01-01,20373,20373,18914,11.2,3.8,8.9,11.2,7.4,5.3,14.7,4.7,8.6,4.8,4.8,8.1,2.1,2.3,4.1,4.7,4.8,5.7,33.5,31.4,33.2,33.7,30.7,29.7,34.0,31.8,33.2,0.9,1.3,1.3,0.7,0.3,0.4,0.4,0.5,0.4,6.8,3.9,6.8,6.4,3.9,5.4,6.0,4.4,4.8,10.5,31.2,15.7,3.3,30.2,34.7,15.1,33.2,29.1,14.5,19.6,11.8,7.6,19.8,44.8,25.4,38.9,7.4,0.0,6.3,0.0,0.0,4.6,0.0,0.8,0.0,0.0,1,-0.2,16.9,24301,False,False,True
8,2,2025-01-01,971,971,831,11.2,3.8,8.9,11.2,7.4,5.3,14.7,4.7,8.6,4.8,4.8,8.1,2.1,2.3,4.1,4.7,4.8,5.7,33.5,31.4,33.2,33.7,30.7,29.7,34.0,31.8,33.2,0.9,1.3,1.3,0.7,0.3,0.4,0.4,0.5,0.4,6.8,3.9,6.8,6.4,3.9,5.4,6.0,4.4,4.8,10.5,31.2,15.7,3.3,30.2,34.7,15.1,33.2,29.1,14.5,19.6,11.8,7.6,19.8,44.8,25.4,38.9,7.4,0.0,6.3,0.0,0.0,4.6,0.0,0.8,0.0,0.0,1,-0.2,16.9,24301,False,True,False
2,1,2025-02-01,200,200,11869,8.7,2.2,8.0,10.2,5.8,3.9,13.4,2.8,7.3,2.0,4.0,8.3,2.2,2.6,5.4,5.1,4.0,6.7,33.6,30.6,33.4,33.9,30.5,29.5,34.1,31.9,33.4,0.9,1.5,1.5,0.7,0.4,1.1,0.4,0.5,0.4,7.1,5.1,7.1,7.0,3.6,5.1,6.2,4.4,4.8,13.2,31.6,34.8,3.0,30.2,35.9,16.1,34.3,28.2,0.0,3.5,1.2,32.0,42.3,35.6,61.4,10.2,28.7,0.0,3.3,0.0,0.0,12.7,0.0,2.8,0.0,0.0,2,-0.5,15.7,24302,True,False,False
16,3,2025-02-01,6168,6168,19138,8.7,2.2,8.0,10.2,5.8,3.9,13.4,2.8,7.3,2.0,4.0,8.3,2.2,2.6,5.4,5.1,4.0,6.7,33.6,30.6,33.4,33.9,30.5,29.5,34.1,31.9,33.4,0.9,1.5,1.5,0.7,0.4,1.1,0.4,0.5,0.4,7.1,5.1,7.1,7.0,3.6,5.1,6.2,4.4,4.8,13.2,31.6,34.8,3.0,30.2,35.9,16.1,34.3,28.2,0.0,3.5,1.2,32.0,42.3,35.6,61.4,10.2,28.7,0.0,3.3,0.0,0.0,12.7,0.0,2.8,0.0,0.0,2,-0.5,15.7,24302,False,False,True
9,2,2025-02-01,987,987,86,8.7,2.2,8.0,10.2,5.8,3.9,13.4,2.8,7.3,2.0,4.0,8.3,2.2,2.6,5.4,5.1,4.0,6.7,33.6,30.6,33.4,33.9,30.5,29.5,34.1,31.9,33.4,0.9,1.5,1.5,0.7,0.4,1.1,0.4,0.5,0.4,7.1,5.1,7.1,7.0,3.6,5.1,6.2,4.4,4.8,13.2,31.6,34.8,3.0,30.2,35.9,16.1,34.3,28.2,0.0,3.5,1.2,32.0,42.3,35.6,61.4,10.2,28.7,0.0,3.3,0.0,0.0,12.7,0.0,2.8,0.0,0.0,2,-0.5,15.7,24302,False,True,False
3,1,2025-03-01,135,135,17873,8.3,5.6,10.6,11.4,7.6,6.8,13.6,5.6,9.6,2.1,3.7,7.2,2.1,2.7,3.4,3.2,3.6,4.4,33.3,30.7,33.1,34.0,30.6,29.3,34.1,32.0,33.6,1.0,1.0,1.2,1.3,0.4,1.3,0.7,0.4,0.4,6.0,5.4,6.3,6.3,4.6,5.4,6.0,4.2,5.9,15.2,33.1,37.7,3.5,32.2,37.5,16.5,36.3,25.7,98.4,26.5,56.7,52.0,33.2,43.0,82.5,39.7,58.6,0.0,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3,7.6,48.3,24303,True,False,False
17,3,2025-03-01,9508,9508,7439,8.3,5.6,10.6,11.4,7.6,6.8,13.6,5.6,9.6,2.1,3.7,7.2,2.1,2.7,3.4,3.2,3.6,4.4,33.3,30.7,33.1,34.0,30.6,29.3,34.1,32.0,33.6,1.0,1.0,1.2,1.3,0.4,1.3,0.7,0.4,0.4,6.0,5.4,6.3,6.3,4.6,5.4,6.0,4.2,5.9,15.2,33.1,37.7,3.5,32.2,37.5,16.5,36.3,25.7,98.4,26.5,56.7,52.0,33.2,43.0,82.5,39.7,58.6,0.0,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3,7.6,48.3,24303,False,False,True
10,2,2025-03-01,1140,1140,3181,8.3,5.6,10.6,11.4,7.6,6.8,13.6,5.6,9.6,2.1,3.7,7.2,2.1,2.7,3.4,3.2,3.6,4.4,33.3,30.7,33.1,34.0,30.6,29.3,34.1,32.0,33.6,1.0,1.0,1.2,1.3,0.4,1.3,0.7,0.4,0.4,6.0,5.4,6.3,6.3,4.6,5.4,6.0,4.2,5.9,15.2,33.1,37.7,3.5,32.2,37.5,16.5,36.3,25.7,98.4,26.5,56.7,52.0,33.2,43.0,82.5,39.7,58.6,0.0,3.6,0.0,0.0,0.6,0.0,0.0,0.0,0.0,3,7.6,48.3,24303,False,True,False
18,3,2025-04-01,7182,7182,18087,9.6,10.3,13.4,13.0,11.8,11.5,15.2,10.6,13.3,1.6,4.3,6.4,4.7,2.7,3.0,2.6,4.7,3.5,33.3,30.6,33.5,33.9,31.3,29.3,34.1,32.0,33.7,0.7,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.3,5.6,5.2,5.2,5.3,4.6,4.8,5.7,4.1,5.0,12.4,32.4,22.6,5.3,30.7,35.0,16.3,33.8,27.4,48.2,106.2,41.8,75.3,43.5,62.6,23.9,65.9,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.1,67.3,24304,False,False,True
11,2,2025-04-01,1420,1420,2378,9.6,10.3,13.4,13.0,11.8,11.5,15.2,10.6,13.3,1.6,4.3,6.4,4.7,2.7,3.0,2.6,4.7,3.5,33.3,30.6,33.5,33.9,31.3,29.3,34.1,32.0,33.7,0.7,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.3,5.6,5.2,5.2,5.3,4.6,4.8,5.7,4.1,5.0,12.4,32.4,22.6,5.3,30.7,35.0,16.3,33.8,27.4,48.2,106.2,41.8,75.3,43.5,62.6,23.9,65.9,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.1,67.3,24304,False,True,False
4,1,2025-04-01,6,6,23194,9.6,10.3,13.4,13.0,11.8,11.5,15.2,10.6,13.3,1.6,4.3,6.4,4.7,2.7,3.0,2.6,4.7,3.5,33.3,30.6,33.5,33.9,31.3,29.3,34.1,32.0,33.7,0.7,0.8,0.8,0.8,0.4,0.8,0.6,0.4,0.3,5.6,5.2,5.2,5.3,4.6,4.8,5.7,4.1,5.0,12.4,32.4,22.6,5.3,30.7,35.0,16.3,33.8,27.4,48.2,106.2,41.8,75.3,43.5,62.6,23.9,65.9,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.1,67.3,24304,True,False,False
12,2,2025-05-01,1164,1164,2475,12.3,15.0,15.5,15.0,16.0,15.7,16.3,15.1,16.2,1.3,3.2,5.6,4.7,2.8,3.0,3.2,3.5,4.5,33.1,30.5,33.0,33.5,30.7,29.5,33.8,31.9,33.4,0.5,0.4,0.8,0.3,0.4,0.6,0.5,0.4,0.3,5.0,5.1,5.2,5.0,4.7,4.2,5.6,3.9,5.0,14.1,31.6,36.9,5.6,29.4,31.3,17.0,31.1,37.8,72.2,98.2,135.9,132.7,109.5,82.9,81.8,73.7,166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16.8,117.3,24305,False,True,False
5,1,2025-05-01,682,682,25735,12.3,15.0,15.5,15.0,16.0,15.7,16.3,15.1,16.2,1.3,3.2,5.6,4.7,2.8,3.0,3.2,3.5,4.5,33.1,30.5,33.0,33.5,30.7,29.5,33.8,31.9,33.4,0.5,0.4,0.8,0.3,0.4,0.6,0.5,0.4,0.3,5.0,5.1,5.2,5.0,4.7,4.2,5.6,3.9,5.0,14.1,31.6,36.9,5.6,29.4,31.3,17.0,31.1,37.8,72.2,98.2,135.9,132.7,109.5,82.9,81.8,73.7,166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16.8,117.3,24305,True,False,False
19,3,2025-05-01,1642,1642,13370,12.3,15.0,15.5,15.0,16.0,15.7,16.3,15.1,16.2,1.3,3.2,5.6,4.7,2.8,3.0,3.2,3.5,4.5,33.1,30.5,33.0,33.5,30.7,29.5,33.8,31.9,33.4,0.5,0.4,0.8,0.3,0.4,0.6,0.5,0.4,0.3,5.0,5.1,5.2,5.0,4.7,4.2,5.6,3.9,5.0,14.1,31.6,36.9,5.6,29.4,31.3,17.0,31.1,37.8,72.2,98.2,135.9,132.7,109.5,82.9,81.8,73.7,166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,16.8,117.3,24305,False,False,True
13,2,2025-06-01,3481,3481,6720,16.6,20.4,19.3,17.5,20.4,20.6,19.3,19.9,19.1,1.3,2.8,5.0,6.1,2.4,5.9,7.7,3.2,6.1,33.3,29.9,32.7,32.6,28.4,28.3,32.9,31.9,33.2,0.5,0.7,0.5,0.5,0.4,0.5,0.6,0.4,0.2,4.5,5.3,4.9,4.8,5.0,4.0,5.8,4.0,5.0,34.8,31.5,24.5,5.4,28.5,29.7,16.2,29.4,35.0,30.2,147.9,150.2,292.7,207.4,317.6,85.1,99.9,227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22.9,184.7,24306,False,True,False
6,1,2025-06-01,3428,3428,28450,16.6,20.4,19.3,17.5,20.4,20.6,19.3,19.9,19.1,1.3,2.8,5.0,6.1,2.4,5.9,7.7,3.2,6.1,33.3,29.9,32.7,32.6,28.4,28.3,32.9,31.9,33.2,0.5,0.7,0.5,0.5,0.4,0.5,0.6,0.4,0.2,4.5,5.3,4.9,4.8,5.0,4.0,5.8,4.0,5.0,34.8,31.5,24.5,5.4,28.5,29.7,16.2,29.4,35.0,30.2,147.9,150.2,292.7,207.4,317.6,85.1,99.9,227.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22.9,184.7,24306,True,False,False
