품목,날짜,생산량,수입량,판매량
오징어,2025-08-01,4568,16925,21493
갈치,2025-08-01,4728,15578,20306
고등어,2025-08-01,4195,16227,20422
오징어,2025-09-01,4172,11736,15908
갈치,2025-09-01,4338,13835,18173
고등어,2025-09-01,3559,14715,18274
고등어,2025-10-01,2285,16684,18969
갈치,2025-10-01,3177,13316,16493
오징어,2025-10-01,2988,24725,27713
고등어,2025-11-01,3097,16336,19433
갈치,2025-11-01,2497,5572,8069
오징어,2025-11-01,2548,16632,19180
오징어,2025-12-01,2702,8283,10985
갈치,2025-12-01,2726,12602,15328
고등어,2025-12-01,2458,14549,17007
고등어,2026-01-01,1942,9704,11646
갈치,2026-01-01,837,9468,10305
오징어,2026-01-01,1651,18790,20441
갈치,2026-02-01,1425,9234,10659
오징어,2026-02-01,2874,20304,23178
고등어,2026-02-01,2138,11842,13980
