날짜,생산,수입,전기재고,소비,수출,당기재고
2015년 01월,"21,010","12,406","54,943","22,846","3,460","62,053"
2015년 02월,"8,671","9,697","62,053","19,107","5,132","56,182"
2015년 03월,"15,366","11,958","56,182","17,481","5,844","60,181"
2015년 04월,"39,179","13,432","60,181","53,562","11,252","47,977"
2015년 05월,"32,441","12,417","47,977","31,136","10,160","51,539"
2015년 06월,"52,751","11,637","51,539","53,890","9,259","52,778"
2015년 07월,"19,987","11,176","52,778","20,882","7,553","55,505"
2015년 08월,"24,057","11,295","55,505","32,763","3,075","55,019"
2015년 09월,"20,879","13,166","55,019","30,704","3,155","55,204"
2015년 10월,"20,685","14,888","55,204","29,774","5,722","55,282"
2015년 11월,"29,584","10,826","55,282","33,145","5,043","57,504"
2015년 12월,"47,929","10,802","57,504","44,301","3,761","68,173"
2016년 01월,"21,194","13,673","68,173","36,718","4,275","62,047"
2016년 02월,"4,556","12,547","62,047","19,500","4,179","55,471"
2016년 03월,"4,754","14,959","55,471","15,333","10,183","49,669"
2016년 04월,"7,548","9,417","49,669","21,923","6,192","38,519"
2016년 05월,"2,021","10,796","38,519","21,016","3,041","27,279"
2016년 06월,"10,455","13,586","27,279","24,820","2,283","24,217"
2016년 07월,"6,841","10,739","24,217","19,804","4,332","17,661"
2016년 08월,"16,490","17,527","17,661","31,762","4,165","15,751"
2016년 09월,"10,558","14,573","15,751","22,913","4,493","13,476"
2016년 10월,"18,921","13,410","13,476","28,448","4,509","12,850"
2016년 11월,"20,418","14,077","12,850","33,785","2,305","11,255"
2016년 12월,"32,216","14,212","11,255","38,088",879,"18,716"
2017년 01월,"13,630","16,598","18,716","26,255","1,485","21,204"
2017년 02월,"4,931","15,566","21,204","22,292",636,"18,774"
2017년 03월,835,"17,419","18,774","20,637","1,087","15,304"
2017년 04월,"12,716","15,743","15,304","25,663","4,520","13,580"
2017년 05월,"10,019","16,834","13,580","23,449","4,906","12,077"
2017년 06월,"5,560","19,172","12,077","22,846","3,711","10,252"
2017년 07월,"11,450","15,257","10,252","25,764","1,080","10,115"
2017년 08월,"21,823","16,777","10,115","33,210","2,057","13,447"
2017년 09월,"12,914","13,641","13,447","22,500","3,846","13,656"
2017년 10월,"10,325","10,059","13,656","19,093","1,638","13,309"
2017년 11월,"11,119","11,080","13,309","21,517",640,"13,351"
2017년 12월,"13,018","15,349","13,351","25,617","1,028","15,073"
2018년 01월,"8,473","26,372","15,073","32,134",928,"16,857"
2018년 02월,775,"15,765","16,857","16,589","1,355","15,453"
2018년 03월,295,"18,136","15,453","19,410",493,"13,981"
2018년 04월,52,"23,665","13,981","25,088",683,"11,926"
2018년 05월,"15,131","25,119","11,926","38,622",573,"12,981"
2018년 06월,"16,920","19,907","12,981","35,009",282,"14,516"
2018년 07월,"16,634","20,713","14,516","36,817",472,"14,574"
2018년 08월,"7,005","21,711","14,574","27,531","1,040","14,719"
2018년 09월,"7,076","18,745","14,719","25,272",806,"14,462"
2018년 10월,"11,856","22,027","14,462","33,311",416,"14,618"
2018년 11월,"2,918","16,961","14,618","19,510",959,"14,027"
2018년 12월,"7,031","15,596","14,027","21,114",824,"14,716"
2019년 01월,"10,157","18,463","14,716","29,660",324,"13,352"
2019년 02월,"4,970","11,800","13,352","18,043",743,"11,335"
2019년 03월,"1,264","21,032","11,335","18,889",523,"14,220"
2019년 04월,"2,179","22,361","14,220","25,048",535,"13,177"
2019년 05월,"1,778","25,324","13,177","27,535",688,"12,056"
2019년 06월,"11,951","19,804","12,056","31,029","1,074","11,708"
2019년 07월,"17,065","23,860","11,708","36,561",654,"15,418"
2019년 08월,"12,054","27,175","15,418","34,134","1,770","18,743"
2019년 09월,"7,330","20,369","18,743","24,366","1,077","20,999"
2019년 10월,"2,027","18,931","20,999","22,845","1,106","18,006"
2019년 11월,805,"15,195","18,006","16,878","1,173","15,955"
2019년 12월,"2,178","15,665","15,955","16,425",627,"16,747"
2020년 01월,"5,451","23,643","16,747","30,176",466,"15,199"
2020년 02월,"4,794","10,991","15,199","15,282",731,"14,971"
2020년 03월,"4,514","14,594","14,971","16,336","1,075","16,668"
2020년 04월,301,"15,087","16,668","17,870",852,"13,334"
2020년 05월,"1,011","14,650","13,334","13,608",849,"14,538"
2020년 06월,"4,389","16,221","14,538","18,220",745,"16,184"
2020년 07월,"5,161","18,745","16,184","23,541",528,"16,022"
2020년 08월,"6,477","25,675","16,022","27,422","1,169","19,583"
2020년 09월,"8,031","32,068","19,583","38,650",736,"20,296"
2020년 10월,"6,409","36,445","20,296","43,149",476,"19,525"
2020년 11월,"4,184","38,894","19,525","38,376","1,184","23,043"
2020년 12월,"5,898","29,381","23,043","33,087",883,"24,352"
2021년 01월,"6,133","26,409","24,352","31,071",984,"24,839"
2021년 02월,"2,164","20,955","24,839","27,441","1,143","19,374"
2021년 03월,"2,616","23,964","19,374","24,173","2,396","19,386"
2021년 04월,"10,096","21,516","19,386","33,259","1,535","16,204"
2021년 05월,"25,677","26,377","16,204","51,029","1,252","15,977"
2021년 06월,"31,238","18,308","15,977","45,241","1,265","19,017"
2021년 07월,"8,459","17,125","19,017","19,790","5,222","19,588"
2021년 08월,"15,553","16,973","19,588","27,609","3,499","21,006"
2021년 09월,"16,713","22,034","21,006","31,519","1,638","26,596"
2021년 10월,"16,964","19,409","26,596","34,037","1,777","27,155"
2021년 11월,"2,188","22,574","27,155","26,562","1,533","23,821"
2021년 12월,"1,674","19,534","23,821","16,856","3,226","24,947"
2022년 01월,"1,510","15,303","24,947","16,350","1,825","23,585"
2022년 02월,"1,641","15,477","23,585","16,120","1,639","22,943"
2022년 03월,533,"23,199","22,943","23,370","1,971","21,334"
2022년 04월,23,"11,190","21,334","10,399","2,411","19,738"
2022년 05월,"1,078","19,050","19,738","19,698","1,469","18,698"
2022년 06월,"2,298","12,882","18,698","13,334","3,012","17,533"
2022년 07월,"8,713","20,677","17,533","27,418","1,682","17,823"
2022년 08월,"9,895","27,253","17,823","31,668","1,269","22,034"
2022년 09월,"4,992","20,432","22,034","22,900","1,895","22,664"
2022년 10월,"3,708","26,025","22,664","23,905","5,478","23,014"
2022년 11월,"1,148","20,084","23,014","22,260","1,131","20,855"
2022년 12월,"1,804","31,417","20,855","33,566",339,"20,171"
2023년 01월,"1,360","13,632","20,171","16,266",378,"18,518"
2023년 02월,515,"20,915","18,518","21,922","1,919","16,106"
2023년 03월,"8,299","23,605","16,106","32,419","2,295","13,296"
2023년 04월,"7,625","26,744","13,296","32,622","3,042","12,001"
2023년 05월,"4,709","30,228","12,001","33,144","1,954","11,840"
2023년 06월,"8,588","29,891","11,840","37,056","1,166","12,097"
2023년 07월,"10,217","22,051","12,097","30,919",700,"12,747"
2023년 08월,"10,562","20,388","12,747","25,656","2,522","15,519"
2023년 09월,"4,334","20,767","15,519","15,960","10,694","13,966"
2023년 10월,"3,202","21,942","13,966","23,909","1,542","13,658"
2023년 11월,831,"23,472","13,658","23,640","1,651","12,670"
2023년 12월,595,"16,806","12,670","18,184","1,009","10,878"
2024년 01월,772,"23,490","10,878","24,724",553,"9,863"
2024년 02월,198,"15,735","9,863","15,149",784,"9,863"
2024년 03월,95,"15,763","9,863","18,394",882,"6,444"
2024년 04월,"4,482","18,959","6,444","21,833","1,622","6,430"
2024년 05월,650,"21,108","6,430","18,855","1,183","8,150"
