날짜,생산,수입,전기재고,소비,수출,당기재고
2015년 01월,"2,178","1,529","5,639","4,041",26,"5,279"
2015년 02월,"1,946",928,"5,279","2,358",33,"5,762"
2015년 03월,"1,753","1,795","5,762","4,927",67,"4,316"
2015년 04월,"1,845","1,377","4,316","3,304",67,"4,166"
2015년 05월,209,"2,102","4,166","3,162",24,"3,291"
2015년 06월,497,"2,208","3,291","3,209",30,"2,757"
2015년 07월,"2,252","2,723","2,757","5,197",34,"2,501"
2015년 08월,"8,810","3,051","2,501","11,269",88,"3,005"
2015년 09월,"7,062","2,955","3,005","9,330",99,"3,593"
2015년 10월,"5,051","2,916","3,593","8,022",90,"3,448"
2015년 11월,"5,390","3,218","3,448","7,643",59,"4,355"
2015년 12월,"4,062","3,214","4,355","6,483",230,"4,918"
2016년 01월,"3,566","1,873","4,918","4,878",243,"5,236"
2016년 02월,"2,868","2,125","5,236","4,894",4,"5,331"
2016년 03월,"2,573","1,643","5,331","4,674",411,"4,462"
2016년 04월,692,"1,601","4,462","2,940",177,"3,639"
2016년 05월,653,"2,260","3,639","3,230",140,"3,182"
2016년 06월,"1,692","3,522","3,182","4,837",47,"3,511"
2016년 07월,"1,990","2,756","3,511","4,057",69,"4,131"
2016년 08월,"3,223","3,914","4,131","6,160",94,"5,014"
2016년 09월,"4,007","2,402","5,014","4,823",115,"6,484"
2016년 10월,"3,714","1,417","6,484","6,151",16,"5,447"
2016년 11월,"3,797","1,795","5,447","4,903",72,"6,064"
2016년 12월,"3,558","1,715","6,064","4,145",118,"7,075"
2017년 01월,"2,016","2,131","7,075","3,063",113,"8,046"
2017년 02월,914,"1,744","8,046","4,368",17,"6,320"
2017년 03월,"1,931","1,989","6,320","3,295",51,"6,894"
2017년 04월,"2,577","1,324","6,894","6,127",40,"4,629"
2017년 05월,"2,096","1,728","4,629","2,793",199,"5,461"
2017년 06월,"5,620","1,608","5,461","5,038",45,"7,606"
2017년 07월,"5,980","3,155","7,606","10,868",63,"5,810"
2017년 08월,"9,507","2,664","5,810","11,089",69,"6,823"
2017년 09월,"8,365","2,022","6,823","9,866",82,"7,262"
2017년 10월,"3,775","1,846","7,262","5,604",56,"7,222"
2017년 11월,"7,265","1,635","7,222","9,149",21,"6,951"
2017년 12월,"4,438","1,579","6,951","5,690",75,"7,203"
2018년 01월,"2,920","1,563","7,203","4,490",74,"7,122"
2018년 02월,"1,722","1,577","7,122","3,298",27,"7,096"
2018년 03월,"3,170","1,370","7,096","5,486",143,"6,007"
2018년 04월,"2,286","1,115","6,007","3,191",111,"6,106"
2018년 05월,"5,103","1,310","6,106","6,796",51,"5,671"
2018년 06월,"5,106","2,191","5,671","6,659",83,"6,226"
2018년 07월,"4,765","1,866","6,226","6,788",96,"5,972"
2018년 08월,"4,332","1,914","5,972","6,425",63,"5,731"
2018년 09월,"6,646",932,"5,731","7,062",34,"6,213"
2018년 10월,"5,867","1,254","6,213","7,043",374,"5,917"
2018년 11월,"6,086","1,220","5,917","6,218",200,"6,805"
2018년 12월,"5,131","1,410","6,805","5,887",503,"6,956"
2019년 01월,"3,111","1,146","6,956","4,315",172,"6,726"
2019년 02월,492,"1,132","6,726","2,068",229,"6,053"
2019년 03월,"1,558","1,419","6,053","3,833",354,"4,843"
2019년 04월,"1,178","1,318","4,843","2,398",162,"4,779"
2019년 05월,807,"1,686","4,779","2,427",306,"4,540"
2019년 06월,"3,057","1,382","4,540","4,136",156,"4,688"
2019년 07월,"3,765","1,152","4,688","5,598",105,"3,902"
2019년 08월,"4,601","1,414","3,902","5,570",55,"4,292"
2019년 09월,"4,192","1,242","4,292","6,523",117,"3,087"
2019년 10월,"5,851","1,110","3,087","6,455",203,"3,391"
2019년 11월,"8,691","1,480","3,391","8,394","1,336","3,832"
2019년 12월,"6,178","1,176","3,832","6,471",540,"4,174"
