날짜,생산,수입,전기재고,소비,수출,당기재고
2015년 01월,"15,610","10,685","79,071","3,223","2,357","99,787"
2015년 02월,"7,198","4,524","99,787","8,352","1,183","101,974"
2015년 03월,"14,569","7,566","101,974","17,622","2,246","104,241"
2015년 04월,"10,414","6,118","104,241","14,085","2,925","103,764"
2015년 05월,347,"3,756","103,764","6,854","1,660","99,352"
2015년 06월,"3,804","3,263","99,352","13,440","1,792","91,186"
2015년 07월,"6,843","2,297","91,186","13,457","1,813","85,056"
2015년 08월,"17,476","1,056","85,056","16,046","1,645","85,897"
2015년 09월,"12,322",768,"85,897","14,133","2,765","82,090"
2015년 10월,"13,683","1,207","82,090","11,024","2,520","83,437"
2015년 11월,"15,341","3,481","83,437","11,036","2,652","88,571"
2015년 12월,"14,127","6,707","88,571","9,759","2,379","97,267"
2016년 01월,"15,197","5,067","97,267","19,969","2,481","95,082"
2016년 02월,"2,245","4,484","95,082","19,993","1,409","80,409"
2016년 03월,"3,452","3,954","80,409","19,508",877,"67,430"
2016년 04월,"5,548","4,605","67,430","13,804","1,688","62,091"
2016년 05월,"2,248","3,880","62,091","14,003","1,095","53,121"
2016년 06월,"2,043","5,000","53,121","8,870",649,"50,645"
2016년 07월,"5,630","2,184","50,645","11,958",801,"45,700"
2016년 08월,"13,535","1,789","45,700","15,206","1,065","44,753"
2016년 09월,"19,171",656,"44,753","19,971","1,415","43,193"
2016년 10월,"19,842",703,"43,193","14,236","3,037","46,465"
2016년 11월,"28,587","2,645","46,465","14,697","3,681","59,319"
2016년 12월,"15,714","9,958","59,319","6,525","2,652","75,814"
2017년 01월,"9,185","8,578","75,814","5,805","1,594","86,178"
2017년 02월,"2,479","4,650","86,178","12,046","1,955","79,306"
2017년 03월,"1,716","3,584","79,306","13,415",363,"70,828"
2017년 04월,217,"3,921","70,828","9,895",508,"64,563"
2017년 05월,827,"4,320","64,563","10,974",504,"58,231"
2017년 06월,"2,158","3,289","58,231","14,798",188,"48,692"
2017년 07월,"7,920","2,087","48,692","15,259",659,"42,781"
2017년 08월,"14,620","1,828","42,781","16,573","1,066","41,590"
2017년 09월,"11,948","1,197","41,590","17,822","2,606","34,307"
2017년 10월,"6,078","1,169","34,307","4,862","3,139","33,553"
2017년 11월,"11,424","2,918","33,553","16,540","1,233","30,122"
2017년 12월,"35,309","7,746","30,122","19,367","3,500","50,309"
